side,price,size,timestamp,outcome,tx_hash
SELL,0.999,400,1767255747,No,0xd8c36ec05343ab2e052ff7fb275379ab8a1f23a95d14bdccc3c866aa8f02b70c
SELL,0.999,400,1767255685,No,0xd7961e228c8a154ce4d007319bbed2c47ea7518bf3135b5061f69e221ad4b7d1
SELL,0.999,41.53,1767254865,No,0x28e7e8ff9ef7585f3bf5db6638c5e28506d06928bdccbfebf45ab85b49f0f637
SELL,0.999,5.21,1767253303,No,0xad82c907085daed81b7db6b556ac3fdb35f41a9dcd473e3c8a72d041097db51b
SELL,0.999,82.65,1767252059,No,0x315ae2f62f205ae06ab4fa20b3406ee4f19c5654458f9fc561795353db9ad7f4
SELL,0.999,40.96,1767250775,No,0x083ea1b26c25953f30ec6069245a08fbcef3af14e8917fd9627f8b0dd3172ef8
SELL,0.999,70,1767249639,No,0xbc153d54173b292d5cbd99e042bc21d0d27dad7ae90c8b6a37bd0f8fba9d1a89
SELL,0.999,98.12,1767249497,No,0x7b874d5225e5cb7d9bef4bc73e3641d29d9502bdef471bcba06c5164142be750
SELL,0.999,10.4,1767248795,No,0x790e9d37c7e5cbd0561b8a521cd2878c15853010f4b4843e9dbc277242bf31e5
SELL,0.999,79,1767248057,No,0x90d992a49e41aa92b2c46d5b076d010d72509a9b5eebedba3c5d92bd42f38076
SELL,0.999,1,1767246893,No,0x901324fac0a70fe0cee5b08c4feb2ddfe75df09979a32faa37b81cd7a02086a4
SELL,0.999,5,1767246875,No,0x0c13f47fa31b96942caa26321c21aae8415eadecedb9fb4fc2c3e51b9a1ae302
SELL,0.999,100,1767245793,No,0xf32c31d6febba505494f14028ad9bea5af0fed5b1588ed4cc9a1795a5257ca8b
SELL,0.999,1.12,1767245535,No,0xc2536ff7dc43fe68099fd28f210bbdb6b83b907fa08be61461fa933e98da3598
SELL,0.999,5000,1767244789,No,0x6a68218e9d38212fe85b898087e724dd45e7eccecc8ebfb3461dcc3f77564e7d
SELL,0.999,600,1767244523,No,0x9132fb26544e0f5e0bfc3fcbc5f85c6f8698d9c72d5e62c964d1f18c84ba35bc
SELL,0.999,273.19,1767244055,No,0xff2024fbde0a2e8b337e994050f9309028998fe238c090002e99b84c651e94f9
SELL,0.999,10000,1767243829,No,0x2d77fe43160cfc80d950c710a64ef7024875b49ae0a8cd09a27dbc41c8ed9711
SELL,0.999,16.62,1767243737,No,0x006a42cba58e048d94ca575682ae99558be010109ac30e0e39b77dec000244d8
SELL,0.999,12.98,1767243609,No,0x78d0d8d2f4416cfb2bb54c42409a18f5d58ac070f2ad118eed16f4b4571611fe
SELL,0.999,267.73,1767242703,No,0xafb943a8892e64915c4b0b6245fec43bece63f0653f335720dba3e7fe8c5e3dc
SELL,0.999,10.01,1767242627,No,0x9df2952d3c2e6975af736a16ad220c89b6aa22c838b48a62a650015ccc0e2e4d
SELL,0.999,20000,1767242563,No,0x38a33dfc6636702be1bad155d8936dceb1e10af45835bd80c163a6c467a45774
SELL,0.999,10,1767242483,No,0x21cbf8bbd9debebca14e97c4242080c1353d9d05c200df5176155d16285fb3d6
SELL,0.999,10.01,1767241703,No,0x2123f74bd7b0da56bff4f56ada1a213e12c9fd900ea33c08e848532b9a839406
SELL,0.999,10000,1767241581,No,0x72c968fb209590dcc6cf8c314b4d82817520402cf45ccc6173f0fbed025c1766
SELL,0.999,6000,1767241091,No,0x990df6e6076019df19c8b1cd9377ef3ee47a46eec4989f8f8e9cd93724aa3fe9
SELL,0.999,5000,1767241001,No,0xdb8f4282ae99ddfabc7f4bc8e5542f422022e3cbe300fd6f4cb0483de030e939
SELL,0.999,123.69,1767240657,No,0xa4e19a57e51b30de0b6285261e86449d9bfc91543d6784e5e16a7848cfdceeff
SELL,0.999,501,1767240621,No,0xd6fb8e8f2bbc5476cd1732076d8a4cf47c931a0d531f7b4ae355904f8147c38f
SELL,0.999,212.1,1767240541,No,0x3b00b6830044dc1b06908a4c1e968a31c66a73ac16ad9105bf79cafd18418919
SELL,0.999,6.49,1767239969,No,0xb1da3ec7b1a95d9067036832a3eba9d4f538faabb6c72f840a18f21230760c69
SELL,0.999,10.03,1767239263,No,0x4f0dad6ea9a5c137bc8b439e8317ca0900987cc66646c0e6f4c0ba00b8f52a36
SELL,0.999,2.21,1767238857,No,0x7889b5ec11ec017f4e4a63c44cb6768a1551790096bad45c78f6097bdd0317b4
SELL,0.999,100,1767238817,No,0xf8c784a731859ab8487f77a334ad102bd338b1f20de4578fb1ec7a1cdc67e99f
SELL,0.999,6547,1767238353,No,0x74631245a621ef332e124163c4889d90e62823db36c5f8b8195e3dc690601aec
SELL,0.999,11000,1767236547,No,0x37396e7a66f140be77bcb56bebf7ca2952a785d3dd0cb21da5575a3336a757cf
SELL,0.998,1315.78,1767235655,No,0x2c82fac2515465937699a8755288dcb91a0d09fb12faeb4f394958a7feb44daf
SELL,0.998,4,1767235149,No,0x3f7092dbbdae5959dabfbd3a301233875b412f2cc644b4b75bed2a15f891ed4a
SELL,0.998,1.77,1767234557,No,0x88f53473b839f0b76ee089bb2d253384dcda3a2b3ca82cc94d99a55c9eacfb01
SELL,0.998,4,1767234301,No,0xe300339deeda67b39f3cefee723ceb121f44faac832ae70a5dd8991c55ec8a72
SELL,0.998,2.01,1767234251,No,0x9c61ccb990471223505718e6463c49ef7a34683893bdbf9ff6485dad877eea62
SELL,0.998,266.73,1767234043,No,0x36a23225ea13e6cb583a409c8d80c19b97f294f2a137cd22f9d9fa2b30caa024
SELL,0.998,5,1767233871,No,0x78398247442da9ef070b99ed7bab64b6c98030bd7a3dc61a1e664af2ad73d84b
SELL,0.999,5.93,1767233813,No,0x2b773a8b1c749663863c789c96692cfa5bfb63143b3b863cd55f6132bcefd8b7
SELL,0.999,269.73,1767233785,No,0x5a749266ed98e4572d964af22b805716b5b4904b3c689f2bb0bf8eceaf8ffe07
SELL,0.998,4,1767233503,No,0xde3cefdb3aa5d01f751e49050a91f0c53ec0fdd0e6b6ba3e04f62904a957d41e
SELL,0.998,5.01,1767233091,No,0x0ee26353700e911e8db1e394c773c99b6517710cd3c17224b01806558c3ff8e3
SELL,0.998,9.15,1767232955,No,0x4f25b2008b1e54d241c2216be99b2913fabc439a7625f41ec3e1b1f5670afb15
SELL,0.998,16.02,1767232943,No,0x529b6f033546fb9a1e5ec8e6c14f16ea6d6ef20a5feb7c6ea0b912f0ac5e3c65
SELL,0.998,16.73,1767232933,No,0xe9d660debbe7d926f8f35a5f22d01d0495fea86020327d138dee67008223e391
SELL,0.999,29996,1767232911,No,0x04684b9091e6f0dd52189321880a31e11901b2f480586e98b8fa180e962c0aeb
SELL,0.999,4,1767232753,No,0x09a82457906387aefd520f746632d06ab29e103f039e9102a6d7223dd72fdae7
