side,price,size,timestamp,outcome,tx_hash
BUY,0.001,60000,1778355137,No,0x5c1b46a6ab73b2caae9159d224ff4180b4da551feecd03de976ad3610f8a4b7e
BUY,0.001,1000,1778355137,No,0x2251fc4c610f32329b213db7e8c76764eef77ffd2d2bf6392bdacf066f0e82ba
BUY,0.001,1000,1778355120,No,0x9e7c97501b06bfc3032bc66b52901226fbe5954a5390e67dbbb03e1b3b4f2b67
BUY,0.001,3000,1778355118,No,0x3a8cbcf5cfc583a5200d84b66c1fd21f854f5122527211761190993abecbbc2d
BUY,0.001,11000,1778355116,No,0x044954518b8e11ff8fc871b27c0583bd6ab59cf089c32d492505c5eec766d6b6
BUY,0.001,1850,1778355115,No,0x4e72ad02235d3fc7e3210a5dd70b48dac9dfdb2c63e9a8cbc8b2ea99df9c8f6b
BUY,0.001,305000,1778355109,No,0x219038908ce3e815e0d33c81f2239e8ddc725c2387ca17bee0a80d5872921302
BUY,0.001,10000,1778355109,No,0x9a6123aff51eadd9ee2233abd4b911898a4eda9dec654938887fd60131dec978
BUY,0.001,14920,1778355108,No,0x8ae288e94a3710e7c209e243a7a345c13539c4f2082aee2923f0459d7f60cd04
BUY,0.001,10940,1778355104,No,0xec94ae1c3a9bd5a5f91a4081449b41111395f295b86b4068c133461dec55daea
BUY,0.001,3000,1778355101,No,0x09b5933f95a6dde08f916192f5c1f3cdffce943a85ec87f5c103fde8c27bebef
BUY,0.001,5000,1778355095,No,0x560a7046320fb7538d5185cb85bdf12435d13d8bccc6076a2ab0f90f2036dfa4
BUY,0.001,5260,1778355095,No,0x55d8509dedcbdc7b7021f0ffb6a0c5b87bce5be8e96cfdde768cac749ea1a105
BUY,0.001,10000,1778355092,No,0xda0bcb78ff14db466af459d90043498605e3fcccde037def407455d1a91b1bb1
BUY,0.001,10000,1778355080,No,0x62fe9a6b13bb5396916a670eae11d71e42ae8764173ddef3a5f0667f2e6bacbe
BUY,0.001,49600,1778355078,No,0x30cc4a6ae450db668a1b35585777d4be48ac3f3f3b3a78c5c10f785519a84d97
BUY,0.001,10000,1778355076,No,0x49f5125e323bc5c36b65defcdd438eb62ecbc2a0438925e9ac0d5eb4279883f3
BUY,0.001,9090,1778355076,No,0x1e2d2d25532147ff196f09c02dc8de77d4a8253f93e50c4966ccbb527317ab38
BUY,0.001,11000,1778355073,No,0x420b4fe3511d9d52ddaf30173e255d14626655131607458d949da91afa71cd99
BUY,0.001,20000,1778355071,No,0x0951cb5b6e10ab1886db6c47265e0012fb40391268b4ed3f94fd6d1863e9571d
BUY,0.001,9000,1778355071,No,0xe400670a541d33c6aae418d1fb38a841813a11bd12580c9cfe2eda0c83c629ae
