side,price,size,timestamp,outcome,tx_hash
BUY,0.001,5000,1775867401,No,0x11dc1aa9a069d0f3c07a5c8bfe199a2f02fb36b412992aa7a75103a0e11cc88b
BUY,0.001,1000,1775867395,No,0xbaac183e16bdc6f649153af4addbb3c6f48dbb58ac23faf9eb0d30dca6e46618
BUY,0.001,5000,1775867391,No,0x22ee1b9972851beb8fc3b89a425630c3c39afc63df66fd8acd77cc3780792022
SELL,0.999,109.58,1775867333,Yes,0x6d18435e33816d949847a0a04ce2133c36500cb54075d77a57c0e60fc6677d48
BUY,0.001,3150,1775867317,No,0x3d37adb3b71c154257ab694774337fbae96a59a7b8c17f0750df9fe8058f4faf
BUY,0.001,4420,1775867303,No,0x789b95f1bb9ff2a1a5b34c7d7015a01f2c5f4eeabbf81b276a103eefab78fac1
BUY,0.001,1000,1775867211,No,0xcd1f6c9b64ce4ce3c5c12ea94e177fb27fe5b3b2c009eeb4dcc74a4c827e460f
BUY,0.001,1000,1775867205,No,0x69070b4d1b3e62f7313443bf0d56b509276f20b66895fd7028f43ada2db33237
BUY,0.001,10000,1775867165,No,0x22635b9b52736663dc80d21ddc784ce677ead9f77c10dc3d2305b45f1d7f8f8d
BUY,0.001,5880,1775867103,No,0x882970d5f6a5b778e820abdd4dc0812f0dadce037583719d1fbd0f3ee563539b
BUY,0.001,28600,1775867081,No,0xccbe53c01c05a585c1ab6deb80d674273c6cfbd7d3867fdabffaeba9b9f3a093
SELL,0.999,1,1775867075,Yes,0x8638334515d5d9a81fde2e8bc59b1ad5adbaa4a3cc4460837876db7c848b690d
BUY,0.001,89940,1775867067,No,0x556ec59f72e433b76f46e09d9068c8d67d471d9dfe452ee32aa77b9a448e4ab7
SELL,0.999,2600,1775866987,Yes,0x28e2666961e4f89732dd8346b85b6b7aca039c770cc941fe28fe96bca4d84298
BUY,0.001,20000,1775866947,No,0x50656d2cee0f3716ce71058841f7a2339160cdfc473df3c936c2ad3312a0320f
SELL,0.999,30000,1775866931,Yes,0xe586ab96414c4869f2ca830aaa4af6f1a25163331e83651670175824d51643c7
BUY,0.001,10000,1775866925,No,0x458609354c010374b3753d80091c7d0ef47104e09aa4e31a0392e6087103aeea
BUY,0.001,20000,1775866925,No,0xfc2fb8592a49100203cff8de7a319c89dd23c1a19f68f7e2a05f40d10a8250aa
BUY,0.001,1490,1775866909,No,0x4cf908baa58974405292642da1112e799fc44c99875c0308b450b59db6aaabbe
BUY,0.001,1000,1775866883,No,0x7912a1bd295b06a91863c95ccbbd2b80dc6c2e38920d68944511354ae0aec422
