side,price,size,timestamp,outcome,tx_hash
BUY,0.001,2580,1731405405,Yes,0xe5af9ef9de19650e09081133a5f6eba0d7382079609af56fbdb11d0481f5e6b0
BUY,0.001,600,1731405047,Yes,0x177b15e151c9fcde225116d906c586ce1c8fa5655243f0523758622e4fd768ca
BUY,0.001,3000,1731404144,Yes,0xd72e0bfa248cfda3baed5e1e4ba30d022100865f74ad413e59ca1c9e7fe10eda
SELL,0.999,4.17,1731403508,No,0xfe09307fb81a2d4024063dab342ae0ef8f6e299e6612751a09cb49edbab6d54f
BUY,0.001,20,1731401837,Yes,0x9f0188585c847e23376a55373dcab716b47077a7c040ceebb5f51de183575035
BUY,0.001,3210,1731401351,Yes,0xed2de511b7e30a790fc9c69295b48c283eecde91598f9268e75a1c7537651e86
SELL,0.999,12.49,1731400338,No,0x63bf2268069a97d8e11008adc325db2dc7e389d2eea1efa620686c67d73264af
SELL,0.999,599.45,1731396557,No,0xb26804a85a3961f6c947dd351873f4346091dcd437e8fd2dda1fa4faf9b6e973
BUY,0.001,1000,1731395428,Yes,0x73a3b02f337a48563ff2995d8693e39f641440833cde6390ce2786b7aa2e5207
BUY,0.001,25000,1731395064,Yes,0x563cb7dab75ee2dc7ee43c2b8979f88dd5b7199538606dab2cd344ef76f81564
SELL,0.999,500411.16,1731393561,No,0x32de6e62627916fa251b8ae8d059d6e9830b71b9b25022c70889015e7f8a7d78
SELL,0.999,40.04,1731391186,No,0x6ce4fb958ceeca633c3077f6e6cc200b5d427aa4936dbe227a2a081c4a21c513
SELL,0.999,50.05,1731391102,No,0x4422494906ce092e5d1c4d4ab80792ca102a779875f464ba3669d50400b4c614
SELL,0.999,50.05,1731391080,No,0xa6dce40f2a2e20a54527c0730e2f470687c8c44555b457e925b764b5f4633733
SELL,0.999,40.04,1731391056,No,0xe0cc6322764a836a3ee6d24e6ce4aa47f6e7c1bf13133c8e4b44bdf3b6c44dec
SELL,0.999,54.86,1731390934,No,0x30e2ca63792f648c371e76aae1c7da8c531fcf94deeef79926ba32b3ce6b55d6
SELL,0.999,30,1731390799,No,0x83e7e3d14c2316268560d64fd77d816fb74fe1dbb834c26c02011ffa21bf1719
SELL,0.999,70,1731390749,No,0x141dd08287919ab61d7668b57238cc38f2596a58c085f4cc7a37eabedd141aaa
SELL,0.999,93.07,1731390703,No,0xb7234b48d595409fd7ab0ac827f6cac30cd541384ed3e744c9e0abab0dba6186
SELL,0.999,90,1731390641,No,0x04677ed44576dbf01bf68aa4772ab5e8325938c0ef03c6913de3a34c68b7e601
SELL,0.999,50,1731390589,No,0x8e1ded811d4918e220e9bdb336cf033421869757a9db8c77e8a8ac43a53981b0
BUY,0.001,3920,1731388036,Yes,0xc058b5ec585644296357b00de61dc26b301230cb9da5d40c5f783f655eff62af
BUY,0.001,7.7,1731387990,Yes,0xe49d38720f440b137aa2df32ade14a3681b81dcf523d68f1bb34519ef1cff267
BUY,0.001,5490,1731387908,Yes,0xd2e0d73c07401f9b20d7599e1f3486610118d976c6129b422ca0367b0571b8dd
BUY,0.001,8.42,1731387239,Yes,0x7ec106c9158dd234592f0a65d576a7dd6daa3c7a61a21af37f9c942ad3738c7a
BUY,0.001,7630,1731387195,Yes,0x990f2caeba7a77a4b57f0b4e34047795b53d73dbf655cb4b7c64ded768f1dbcc
BUY,0.001,1000,1731386973,Yes,0x457f5ed2a5d589874f2529f63ea839055c31e64568ba84e66aed10fabdf19842
BUY,0.001,4060,1731386789,Yes,0x901ad50a67175f8a0149794ee36e18906d00d79fdd21ce4325a759295e509c3c
BUY,0.001,8870,1731386675,Yes,0x18b6d4b7f4f4e0f3d3de26e938cf8c08dcbc3c2f3ad255545e82e31b7eeb6bff
BUY,0.001,4560,1731386542,Yes,0xe30548bc174f60b02f45904fb0d5f8087696dae232e1488db416bb22cebe3f3c
BUY,0.001,4560,1731386486,Yes,0x24f7e0241b08d504fb47063c1a703843741e46049974351cc1d697088a70c449
BUY,0.001,60,1731386462,Yes,0x09673d41529579e51120bae3ca0e5700ed14e1e494c412253d57f85094b357f4
BUY,0.001,5930,1731386406,Yes,0x75b53a698e3350f4dbc87a014b97668223627068ba892bbcb5812ff97bc8b3f0
BUY,0.001,7760,1731386304,Yes,0x6d9662c15383b539631f6e4d39213925fb8e14c7fb4b8d4fc42c22690fa8f56b
BUY,0.001,900,1731386236,Yes,0x73290fabde72c92baa91371d2e7f15a7493040982bf890354b3d5c2844c34240
BUY,0.001,6760,1731385894,Yes,0xfa8d8d011575cf17515df5572bfb5176482ba1513cb293ea4e7c6b07ff2a92fb
BUY,0.001,3670,1731385584,Yes,0xd23d92d4563c22c01978622e15fd8a98338c4bb4c6e40e287d286dca3a04ce3f
SELL,0.999,99.71,1731385526,No,0xa2edab57c00adca4b4bb65ee8ddb0a1ad6b5c6ddc1053ee72d93d2cd7d8bafff
SELL,0.999,200,1731385514,No,0x4630c2a4cb48c6f29e7dd538bc67579c93a888c65da7f3e640a5b89b34c7f8a8
SELL,0.999,100,1731385494,No,0xdf318d847f5ec8dcab616355d3922d656c72f8601b12b835e103aa3e89401d01
BUY,0.001,68.22,1731385278,Yes,0x78c2b1bec89ae9c002b4414f8a325a8766f7ba695eff47bb1c9e32df4cafc3eb
BUY,0.001,2000,1731385262,Yes,0xf9ecb35236d01e3bbdea87a2f04ea595f65e25f655960549141a3027dc336b36
BUY,0.001,2890,1731384812,Yes,0x8f528409335150fc43b56fd65b892d4fe38804138d9e1156e807607187b7a530
SELL,0.999,500,1731384009,No,0x7a7f4502563ff66e02159afb9f1246931a360ddac1452a553a9fc2988c4e545e
SELL,0.999,16.77,1731379566,No,0xe60217a8ffe949b54724da1c1da3a693be3ab102f9db5aa64804df9bd8046870
BUY,0.001,3487.2,1731377556,Yes,0x030e90ed97fca14e67d5a3e97d29eedf092127fc443c51f74585a46dba7575f5
BUY,0.001,6380,1731376376,Yes,0x557d2ae103bd0b2884bf030d256a34755ea9de3b442e91a766b1349515794843
SELL,0.999,12.61,1731375888,No,0x28ac7fc6b4caf5a6a0ef50539b4ba757c0b0c0b3c70c8a0e18a812d0efff7130
BUY,0.001,330,1731375040,Yes,0x468eb758b538e5b0047b280a059de1e661f4c052e69b58725d6102e06afce36d
SELL,0.999,344.79,1731375028,No,0xe8600f3945bea6208a20bd0f163c472b24008ccecf15a22eccb37dcf6bd6baf4
SELL,0.999,100,1731374490,No,0xe3d60489c1f98b3caf0f950bd3676fa93e974be4eec9775d8a81621628ba0515
BUY,0.001,3200,1731374058,Yes,0x83a393de7d16ecde4e6df13bf44825a49077a31cfecf7942ab4896abf4a38d86
BUY,0.001,1000,1731372444,Yes,0x4d36cb7d3d4b32f154205b2c12f37b794d291bd8fa3dcc49c1e12e1b168ac6d4
SELL,0.999,9096.73,1731372384,No,0x749663db167855c31aaa20afbe5094ffba819c85723d4f0a5da2dd5c9644dc40
BUY,0.001,170,1731368870,Yes,0x51e4462f5f6057ac425deab4ae8b692c6590fc8e622b39e0e868656127eb5df8
SELL,0.999,125.87,1731365095,No,0xe9e3d7f3ba46306920bdb4abfe58072e1fa8df9ecf000373b0cf8201b99f56b8
BUY,0.999,700,1731358992,No,0xa31f4898ca6fc47b583b1c8f67eef6e073880562ec833812435df40035585c41
BUY,0.999,1042.84,1731358788,No,0x28809efa5733a447d5bb16a23260b00b6c35d389932ff8bb463562d09fb0f696
BUY,0.999,1500,1731358780,No,0xb196fa97517bda204780191cecc5b7b6a98ea66e61f2f20a06b41a767915ec19
BUY,0.001,486.83,1731358778,Yes,0x5670e8855d6a08394b34a084f7b47fa9ba13dba2822e58a946440180132cf6c1
SELL,0.999,3.17,1731358690,No,0x1c4c37fa8a362ff55969fa4e8dd28a241be3cc880ff86168be9edb4f24caee02
BUY,0.001,10,1731358670,Yes,0xcebaf3a622f7f04235defa5425871ff8e45e26a83bb54763592e4efaecefb2df
BUY,0.999,7927.88,1731358368,No,0x9507e863145cb6cc2bcd98d643117a0273798318f4dd152219742a4b330836eb
SELL,0.998,49.04,1731358276,No,0x0ebb756bd61be953f881a71ac77a01a033f218efd78337d15585d4d252e22484
BUY,0.999,49.04,1731358246,No,0x2dc36e2276786e3e5b2d1c1377de74fdeede4c77546b7ad7b68fea2b24b7d08a
SELL,0.998,58.99,1731358114,No,0xcc1ea286d551edd3b33c993a9d30bb204ef9b5516e2a317ca720ca50f331964f
SELL,0.001,33.44,1731358036,Yes,0xc97cac90ec1b2b6adeff5d8ba15e240bd68e3270a7c098261e0e42a35d3cba5c
SELL,0.998,51.85,1731357676,No,0x1702aec6ba51118fe10e4e6483e79317bcc7c79e99066b09594070773170ee4e
BUY,0.999,51.85,1731357644,No,0x881f1f9d3f7f76a10d5fa6e54f05d7b12724e5528c3d4f114c3b6f961c648e4f
SELL,0.998,47.45,1731356632,No,0x2e7fd7b861516b782c11124df3deb123f49c2fd5d83d57e96f51b559a01faf26
BUY,0.999,47.45,1731356600,No,0x9a486835096c5b8fa36057215db2c4fe8fe1b891787a11bb64efce8bfa0df2cc
SELL,0.998,50.88,1731356272,No,0x08cce2372c92d4cdab03cd2c002704d2c96ac1d1e51746aa7ed25e90788b2773
BUY,0.999,50.88,1731356242,No,0x2fe8b4eca2776d6985a3962a814e8af3ca386d361187b2b1e7ae40df343d11e1
SELL,0.001,538.35,1731355864,Yes,0xd8df536410fcd63cc53da9c2025bb53d27bc3f3f8ac7a97d98c638ad0d70d122
SELL,0.001,2222,1731355056,Yes,0xc2b116f31d5c4e0ee1dbdebfaf18e709e6ad7ee6a2b82998d2f3750537eb5bd1
BUY,0.001,1000,1731354954,Yes,0x2ef0c136949fcf8f26ffd1fa83b28900814fef01fb60d2ea67e41ab2c1805caf
SELL,0.998,46.73,1731354946,No,0xe4493042d82879d26ff60fa17e804951f4b73d990c89a6a884dcb228bd02e473
SELL,0.001,401126.97,1731354924,Yes,0xa71cac2eab508298b2c295436546a420b519cd70c1bbda90eb7b5a74f3127b3c
BUY,0.999,46.73,1731354914,No,0x03c540296dfdc54e536edd54eb17deef818679aff70fe11ab7a6b1e56f9dd16b
