side,price,size,timestamp,outcome,tx_hash
BUY,0.001,1050,1744870173,Yes,0xdf6fb4939ebc3f78f70bb1a6dd3dcdbe354eaa8df9f6e5ac8fb4b0687f4f98f6
BUY,0.001,1050,1744862487,Yes,0x80a10cf8190b37ca1c91e30f081d9324b8859fd0b74586b9f930592fbb4b950d
BUY,0.001,1290,1744846609,Yes,0x274f7c29ec8831dbc2ce7820196f57c260dc4b173e26f5fb88b3814b91f5eca1
BUY,0.001,1220,1744839164,Yes,0x7a8c5c78defa509e8b8d504397dfcdb2508fe280360ba7b1513a46e0df65585f
BUY,0.001,1280,1744813831,Yes,0xeb9ef429aba4cd31dd46e8a9f8fe2c722cd3a35eae15cec1db3461986d8a5702
SELL,0.999,105,1744812939,No,0x9def8cd875de3cfd035a2881d708e18bcfd6afe00d428e06ff6e9d3abf46a2b8
BUY,0.001,1000,1744802430,Yes,0x78dec7ec44f45fe3b3984246e7571a86a3aad9a3cce183eb9f28a423b6b9897e
BUY,0.001,1100,1744793700,Yes,0xc0db3f41429f372255c700f3bfe03e36112f6a73270fa9734c85dda66028e16a
BUY,0.001,1000,1744791396,Yes,0x51f47584d62f0d5e4a41eb363d43260809e8979ab1deb0038ad1b20b371cb9d3
BUY,0.001,1010,1744788424,Yes,0x0dcc237fd476ba4bb23f1a204929e6a72ea81af9dadb0836d6caf5fb416b4666
BUY,0.001,1080,1744782706,Yes,0xdaa26e8ee97e0918c72d3ba4d776506eb6c1cd9c78deb5147c035b1fc91605d9
BUY,0.001,1240,1744777598,Yes,0x191339ca1b60b051279109689507db2248a3155096ca4640e2ed041633aebaa7
SELL,0.999,60,1744763909,No,0xd0bf16d1fe0f2318be357a79c4da84acb61cc3a4f473522b1db9a2a14f11fb28
SELL,0.999,100.3,1744736339,No,0x2a530292daff51113ab737b76f8fcab631321cdffd70deeb69d7bff986fc23dd
BUY,0.001,10480,1744734687,Yes,0x9aa743874c85f388c3b5ad798bf64623dc8a7ef689ec81e82f78271b55c0c428
BUY,0.001,1000,1744734125,Yes,0x6b2a0a12a09d3a7a1455279073460a9d7e92091b9c64aa10db010b8cf4c2269e
BUY,0.001,1280,1744733175,Yes,0xc5c14999104a5745c25d5bfdcba38def9be5a12ea2619b26ab1e9f5b6049b206
SELL,0.999,4.35,1744689645,No,0x41dbf8f72efb6a1fa11f7ca6effe91bdd8d5efb244b7ec96db66abff9c9db3a4
BUY,0.001,1140,1744656136,Yes,0xd212a90b2afe6c79e958d21886e22ce6570a5de34e4d9930da1db1d9991ab73e
SELL,0.999,15.01,1744654282,No,0xd68d6072fa270631a0be283c756622345e9bfc7f093d2297a4ab240f92ce7e45
SELL,0.999,238.48,1744602924,No,0x537b9d96a672178bd4d530c3badbad707174ae025d6a3051c1f38c98b4ed0ea1
BUY,0.001,10000,1744601588,Yes,0x96ee4a3d3a885d1a546860489db30798d5f2b9519a5ef98ea9de7e86f68f7334
BUY,0.001,50000,1744600286,Yes,0x68083e55d1fcecf7816be14e055f79a91788d631d8a573c0429a3c9dc60451e3
BUY,0.001,10000,1744583165,Yes,0x5ff9fef977eb6da6a1ecb0f001f7850c927242d8f4727af0d52a24d7e0962497
BUY,0.001,1290,1744582253,Yes,0x435816031e357a8fb73950fd06838679655150cbad5cbeb3c8ffa45c8068b7fe
SELL,0.999,15.04,1744552985,No,0xebc3ddd2b5579d051a88b3ff192d8e6ee623138158b0d8eee235cdd19d5035f5
BUY,0.001,1000,1744538344,Yes,0x9c308db87fccf1e55ce9cb164a0d8013dd6b0d03054fca6e366cc72d507b5339
SELL,0.999,12.03,1744534800,No,0x0cc097149246ca78c7b1e62edd56d381675be72bfe957712b755b78f40426f1b
SELL,0.999,11.04,1744534120,No,0x13966757b5aa971cb59f6a07dd344724242a2c7a3239cc0ba766b287791bc0a5
SELL,0.999,12.04,1744532875,No,0x409ee8d0edde0117d87fc7ced98bb0b6d0ee6889124fa2d92d58b2d546ec1705
SELL,0.999,21.02,1744529177,No,0xff24c37be63f7971447ba371909947fdecbf40d58daa793e55ad50299e31f3b4
SELL,0.999,13.07,1744528861,No,0x78afe69af90be8edaad9a9f7149f1d317a997c434a2d1e2fb00783c101c30dfb
BUY,0.001,1000,1744408823,Yes,0x70acc2aac708834f5787c0ae795258a2314c60bb10792b4216cce749e4d208de
SELL,0.999,33,1744364733,No,0xb737845df75f54f31f5f9eb477fea8c440c66881fe316ba3fae02cc89d31c97d
SELL,0.999,39.05,1744359329,No,0xb3a059390c1abdf47ef773b96095cfced3c665bb5f7ea006bf1ffed55ee486b7
SELL,0.999,37.89,1744358677,No,0xe9adf3d13d9c90fc458756fd2b89845efeed557aab2e6ce7fced52185cbfb573
SELL,0.999,16.74,1744356565,No,0x8bcc5743cd0fee6b1fea30fe1653a1637b10504d7bca880a784239f2b57b5dc6
SELL,0.999,79.07,1744342967,No,0x65022060222afdc9a6841e1850e070c0c52f90c11ce943fe102b50bbaaa69e88
SELL,0.999,1.33,1744274665,No,0x540d5523b498e1bebebe2d17f0406981a803c20e1beaf85a8dd3e785505a8cdd
SELL,0.999,112,1744274499,No,0xff42b768a58fcd0cea7b28ae04140580fa08cf92ba4500c636fb2d88c38d6a15
SELL,0.999,1.96,1744274339,No,0x5e63edec86c9d6469e4b8029e3a1a742d3a27691038faf27b0e6df7840c74a14
SELL,0.999,1.13,1744274275,No,0x8ebd03165eae7c0e98b19894a41d7e9e31cc3226cd46bb94cf3f5eee71dc94ef
BUY,0.001,30000,1744272569,Yes,0xd5f8d6b90479b5093743a56eac4fdf0fbd470877fa03c83cc5f188a1fa250ef4
SELL,0.999,1.44,1744272301,No,0x4491ca4ab818e2e41440f15854d0146a1b59387c0325334ab60c755237fc82e4
SELL,0.999,118,1744272117,No,0x329d27b6bdcc03b074a58ee28b5618cf486d5011331b326d52a929bec904ac4b
SELL,0.999,1.67,1744271853,No,0x1ec4b17d9dd6f123880a46f7dbd856ef483f8552d1f590f0515eadd2af9c43da
SELL,0.999,1.05,1744270513,No,0x189bae55fd3e85c5422fafee0a0937e3f3670ff95dca8b7ad93292a65823bbeb
SELL,0.999,1.54,1744270339,No,0xffb8b4d03c389b95880fe0daee3024159dfbc047e6f29a625195f882c38ef0c9
SELL,0.999,1.28,1744270301,No,0x60741ff9236b7ca127434a84b65543223826f6e1c3d25e5fd1dc75c75274471f
SELL,0.999,1.16,1744270186,No,0x1734026c4088dd2992f58ffc6a9898a65c32a72ac0d6361b34169ecf1852e874
SELL,0.999,1.3,1744268694,No,0x97c30c1e99087e424a19269e8f73a906d2a889a246e5f65d697a8c9339440193
SELL,0.999,1.22,1744268292,No,0xf61574fafa3e8f9ba2019642e3a5569b5e054cc24513ac8edc17659ad3ca3146
SELL,0.999,1.17,1744268044,No,0xf34f1e712ffbebfd684665dce53eb4301666bc7620282083379068e7c275a2b4
SELL,0.999,1.18,1744267172,No,0x6b5356e8336c7a2bf3170d0d5192253e6d51c72621b463e4633b509dc898ab82
