side,price,size,timestamp,outcome,tx_hash
BUY,0.999,400000,1752021139,No,0x44bbfa7f6e66181f78014ba011d1a3088679c3c20661a12be57767076b93559f
SELL,0.001,1818.32,1752021137,Yes,0xb0bbf4bb884bd11b626314056126ba42a7e09e6f614adfd7537b6f785f2a6102
BUY,0.003,2000,1752021135,Yes,0x023be292749e59f7fcc032d12227215f2af8056d2c2f95e67c556d0697384c5b
SELL,0.001001270982587996,393396.42,1752021135,Yes,0x94386cc3f767eb58aff0b952855d3dde54c539be8758823b68b7cdb9ff4777c5
BUY,0.999,400000,1752021133,No,0xb4125106df3a69e4a0008397eb5ffcdd0adef5c23f1c36c1a1f9984c8e331830
SELL,0.001,22237.47,1752021133,Yes,0x254e0ab93953987f93f9af439d9c4a920cadf5ce4b16d35237b3f0884b497df1
BUY,0.998277777575,400000,1752021129,No,0x9c5901e8ffc761ed73595f92eea4e2acada6e8f22f173a8ba548d3972253e295
BUY,0.003000000003,666.666666,1752021125,Yes,0x3c9f8143fa4377fbecda3c24987a3847985db58efedc216efde8797e14e49be7
SELL,0.002,14500,1752021123,Yes,0x28473331f76d5eebabe077bef32d729f0829954fa37162e7fe8261f213176be2
BUY,0.998,4.068,1752021121,No,0x2e4b87047c99ad8b52a9965cdd61dd8e60d45a80cb01e502d4b84ea49313a03e
BUY,0.998,400000,1752021121,No,0x4904a180b58601db090933de8ee534f2b3d03edfdae4005166572fb03d86d5b7
SELL,0.002,14325,1752021121,Yes,0x9c2880fe1df03e3fdf2d10d95a97b126a7a585307c683ca5a8cc34609abe5285
BUY,0.003000000003,333.333333,1752021117,Yes,0x8bfd367e9521925be266d00314e95fc4b1f0870b06ceef73838c262d757571bb
BUY,0.0030000000012,1666.666666,1752021117,Yes,0xdbef50429fd762a24d2121c8a7ec1f703dcf7925e3a5cbf3e243845a7b26011f
BUY,0.998,400000,1752021115,No,0x3f115e151a91fe08f780884f9f5732cd54423a8a8b91815a9ed623d00f9f3106
BUY,0.003,500,1752021115,Yes,0xa9bd2a3c9f24e38e613d0aae0d8bc4efdaf6f146bd1d9de7614afc3892fb6c87
BUY,0.005,20000,1752021115,Yes,0xbd75b7acc5366a76523d98a7a3ba3894aed3f9d6f52115a9d5daf1d0afbd1ddc
BUY,0.9975633299000001,400000,1752021113,No,0xc36ba89c9fe6b40dfb4bd42e4c79aa21dd440593978524ce66fc408bece1cf44
BUY,0.005,200,1752021107,Yes,0x947e25929cb8b14a6268b84c0a014d997201b77a6784aa8b9c79589a28579d5c
BUY,0.9969875,400000,1752021103,No,0xb3180b1763a4504d3644ea1fd279c15448d41c545d6b04fa35c4c92c64b02e98
BUY,0.005,400,1752021097,Yes,0x12e244156db2369caf70e7dbcc220e6973fca725c2f89e91eb0e3b1d65ba8dd0
SELL,0.00352778549828434,23422.47,1752021097,Yes,0x315a8975b66666c66f0207a17e6c8597be572b7531e09a872604fccac46ed772
BUY,0.996,200000,1752021091,No,0xf797245987cca9254ccb38aeb453d1d07275b85827c7f226c0ede090f2849398
BUY,0.005,4756,1752021091,Yes,0x2e2e77f44233e3461e6432ef2e80b64c3bd7382793e2562dd29bc52eca928d10
BUY,0.005,10000,1752021089,Yes,0x53e1a8575a8d37cf9599cb43f737ed7329c48a8f5c26567ff6e67010ede80bfc
BUY,0.996,200000,1752021089,No,0xad1061b391895f35a44c8dab75767a4bc675713c50e23fd3c18ca9b651a826cb
BUY,0.006,52443.33,1752021085,Yes,0xef2b5a250263bb243fc5361390c02bb57342f4c3505058627675274c5258ef7d
BUY,0.996,62.21,1752021079,No,0xb67f8355600e9992fa707db2857d3d52b4589007a3987e8ed815f9bf212968a1
BUY,0.9955933333333333,60000,1752021067,No,0xcc601f881980980645ae90592f5414ff738f3ec0a46826eb7993a174887040c2
BUY,0.006000000024,333.333332,1752021053,Yes,0x897d4aead5b8ba42628046c0b398c42e61f16190d1e192b4899a69fea08a25f4
BUY,0.005,52096,1752021051,Yes,0xe27f1ca0af43aac3f26afd55b8281f1c6c6a3c830ea43c52c6adc4ef50873f25
BUY,0.005,20000,1752021047,Yes,0x699da29f8aac10ff3db0fdd0e74e14746fc083af7c846dea08eac38dc349633d
BUY,0.996,60000,1752021047,No,0x51d696d057eeaff17629bb570e16be804e180267ed84f3fec3b186a1f1e794d2
BUY,0.005,1000,1752021045,Yes,0x2dba3832591ae41664f92abe9951cf77d4cb9f45391f14b26f6308e7665c628c
BUY,0.005,400,1752021043,Yes,0x0a3f28d5f5c1816712d560c344a478e44e042c004a4f343337c009a959c728de
BUY,0.005,2000,1752021043,Yes,0x488f2b4d89a5c659b4dc33b32d5a3829ab5d451e9ebe675f9309f606b336b70d
BUY,0.996,492.87125,1752021041,No,0x921f67cceefbe9470bb58bd2e1572ba5e24e37b6f97d5bcd4c2a7f60132f77b0
BUY,0.005,400,1752021035,Yes,0xaf411dc4bc1a89f8e61273ae320660a0901e1f3e2c4bab493134f0d75a25aa70
BUY,0.005,800,1752021033,Yes,0x6332134795d8f2da4f663ccfdb88857872c163d30d1427f3a52aa7ba6f46346b
BUY,0.006000000024,333.333332,1752021015,Yes,0x8d24ff33b0ab094b5fa6778664a24cd4b4e2479d75ca4aee708975f1547016e5
BUY,0.006000000060000001,166.666665,1752021013,Yes,0x104e06c6e37b17853c38ec5ab91a917358c17ddeb5ec70b18dd03ce72bb9a588
BUY,0.9959782040104621,11470,1752021013,No,0x1f733a5a24c60eb443de6b3113b0c3d6c0d69110e5555d2191dad25f1a8a2500
BUY,0.005270962618407199,94859.333332,1752021003,Yes,0xb7671e54267ec3b13c928fc476735748e90641dd5d4a41d1d879990a4ce1b002
BUY,0.005,4000,1752020999,Yes,0x28ace5ddedfd4c360edc160458832f68b5fe8cecafc1b8c64c454277988d20a4
BUY,0.005,200,1752020993,Yes,0x10563f1271b329973085d3ccfba65d2f7eabd5ac5f958c1aac74f4e92bb4f971
BUY,0.995,3000,1752020983,No,0x611b441ea8c198983daee953ce1faeaf1d6f92190e0a7a3f3cdfba6a9f0a9c13
BUY,0.0060000000006,16666.666665,1752020977,Yes,0x333ce5402dd6042bef2dbeb5c79770cbfbc45b9d63d6af7b6b16cbcd992bdf96
BUY,0.00600000000024,33333.333332,1752020965,Yes,0x606597d385943dddd7a7a757e7011ef969943292c8f4121deeb65267b295a9af
BUY,0.006,250,1752020961,Yes,0x7aaa83a0176651e1e6c80d05f90bea50966895d2306370f2b146009cda3386bf
BUY,0.005,3500,1752020959,Yes,0x147c6824d5c73f69fd11d9dd576e342866d96a14fd911f3ee13e1ac380fa57d7
BUY,0.995,1410,1752020955,No,0xd574134ebed403349fa1f1b88d2b35960742ba07370a1ed2fb1e62ae32983b40
BUY,0.995,9000,1752020953,No,0x3ee8dc10d588379145e8d0f577fe385f2cfe717ce8d7776704f5483d6e9eae01
BUY,0.006,16068.99,1752020947,Yes,0x48ab1519227f8af30f58752c6b927c1f062010f332a1c349a2858d0906d84ab6
BUY,0.995,1111.12,1752020943,No,0x07c1f0e8ed77e961e4b15cca7eae75c3e0df88a43512a35c76330ff687c84fb7
BUY,0.0060000000015,6666.666665,1752020943,Yes,0xe1a17a70f3557fc9028e209805ae4b51be418f9e0d83e84495e3382ed68e8ad3
BUY,0.995,202626.13,1752020943,No,0x403e8d4ac1a9c5b6a68b96ce01a5f9d566e3a8901320f1e63ef2ef7342dfb503
SELL,0.994,3848,1752020931,No,0xa59dbe6fb49fae254c4fab593fda22b1ccc72d506d1026d3865cee103e8113c8
BUY,0.995,2000,1752020925,No,0x783bc842664b0f7c4df15ba448d239a368f33a5360ab370d31a1894bb3c0398f
BUY,0.0060000000024,3333.333332,1752020925,Yes,0x757155decbd70b115397aa59a0f4404e7138b9f9e361dce3d21ea095e441f267
BUY,0.006000000006,1666.666665,1752020917,Yes,0x2bdd9022ad2d1621f324f903a628a6186483cb3823be0d553172ab69b1512600
BUY,0.006,220,1752020917,Yes,0x7282eea4af98dcddf34f148e6534d78fc0d7cdeda2eec63673a3f0eb83cac6a4
BUY,0.00600000000096,8333.333332,1752020907,Yes,0x2c5e094be575e9eedfc280367e2dd20bb936d7cac1c124b2e31791303328cd85
BUY,0.006,200,1752020905,Yes,0x268358dd0be1ca539f8c46da57e109815dbeb1efda2f2b70be0db60805f1f36f
BUY,0.0060000000030565465,3271.666665,1752020905,Yes,0xb458b485b8f938ecada148323d429a580cc34765ecbc15f78012dc75891fbcd7
BUY,0.006,14500,1752020905,Yes,0x015888ffb78cd3ae8dcec34d85a58a06f20cc3d8c87d95daaac4ef949ac621bf
BUY,0.006,500,1752020899,Yes,0x3ee1d5d755ce15a67dc7fbd466cee41193706e3bae00a134c5a18b5a343ab44b
BUY,0.006,250,1752020891,Yes,0xed265921dac3aa98b436c0c771d6d93e76ad12502eaae1078f594335911aa425
BUY,0.006,500,1752020883,Yes,0x0a001dab149dbe8d7e5fc998dff9a0ec44d52c6fa553cd2a2bdd3dcd2b7fe1e0
SELL,0.005,10000,1752020881,Yes,0xf7e81dfb5575ffc162833ffee0b8f34f09c43dda95846a6903f3e83204f39872
BUY,0.006000000006486487,308.333333,1752020869,Yes,0x7f3f813a619848a8da1f4c31e74ac15c2cb44aa247c5a1e2f7beb8f0ea7a1641
BUY,0.006000000000772698,5176.666666,1752020867,Yes,0xdfa57f6cea563fcdc8e666c05aadcc07493afe57d5e6ed18290276efadc3c81b
BUY,0.006,1000,1752020867,Yes,0x794b5c7b262179e401bc35ec799cc36f82f71ae7dd375cc4ea713d4a2525ae5b
BUY,0.995,497,1752020863,No,0x5f4531d88ba39ebcf8e74b02fa5e2baa337829572a53673062014ea2ca0c9e49
BUY,0.995,497,1752020863,No,0x99af9a0fbf50a2cd9c868a7cd94e82af086f8273a40c8af2bcfbf0100112dced
BUY,0.995,497,1752020863,No,0xb2279647bacca7126d680c3c982f813a27d54242f21b9feb945268413c83ca86
BUY,0.995,497,1752020863,No,0xd7dc41f8a00de03acef7c28bcf16139cc95ab1831eb562e961187e5f13d69aa9
BUY,0.995,497,1752020863,No,0x4b9d7245d112a95a3c0242061d7c96d169b608aa3f6f10a5088db09374856ff4
BUY,0.995,497,1752020863,No,0x78c7e6d5d66639dd2688c4d28d914bbe23ae79914e43185b5f3cde99d91a3301
BUY,0.006,8350,1752020863,Yes,0xf905faa0e37fb6102f9407cffac0b8575ee69332ae1d02544cde1cb4567bb1c0
BUY,0.995,497,1752020863,No,0xdce737d4621a656dbff462c8350b53a3ff55885f44bb42916359b44b16de792d
BUY,0.995,497,1752020863,No,0xd3a69931a52d83e24157be13e1721431c24e379ca896935a8c4cb5b830b6addc
BUY,0.995,497,1752020863,No,0x00ef5620385e5916aa16911cbaea9514e3c70752e4086e65e3c03d6bdf90530f
BUY,0.995,510,1752020863,No,0x1062186d040cbc7571e3115a2e60019034797af5c28995536c314c1fa80b821e
BUY,0.995,497,1752020861,No,0x6ac84f83bbae8307bb77c075db7d2249ff233c6f7fb4fafc7dcc21cc7add69d6
BUY,0.995,497,1752020861,No,0xfac01d0e207ced1fcc53cb2b5159962e5fa6a08812c9313de09a5e614f683627
BUY,0.995,497,1752020861,No,0x36a5f02af76cfb6ad23f01af1a1c70647e8532022aa60f443bb7adad61758801
BUY,0.995,497,1752020861,No,0xbdebdf882d1e43e5567f5d5e4cd12af431604db776c7bc5bef34402eaaa79cc7
BUY,0.995,497,1752020861,No,0xb6621966dd2f69c3bbd0a06a1ec7c1dfcf39a0723d9e735d88bf350e190c5bd4
BUY,0.006000000000269421,7423.333333,1752020857,Yes,0xa07e8f2361b46d70c252a99ca19c7162a3163630b2d011153d7bf58fa8a40c36
BUY,0.0060000000024,833.333333,1752020853,Yes,0x368ec0a06547b63c0e4edb2f3edf920319b16636574bccc19bd47cf2e4061e9b
BUY,0.006,500,1752020851,Yes,0x810e75f8b993327ed134d88a6f486905648d12f56fee775fb738100e10a0836a
BUY,0.006000000024,166.666666,1752020843,Yes,0x8ae9ea93d1990a6c1055676b320ecd1ee9629a4a8b75d2f0577e86b9bcda885d
BUY,0.006000000001602136,2496.666666,1752020835,Yes,0x0b09536ebe39d7073a3bbc8daf9c5797bcc9f276a3e69b68706abc3dd6236fd0
BUY,0.006,1000,1752020833,Yes,0xc866fce336b3f023b6f7baaadfa4b680c4731ac837b9e02858a90c5cf5f935ea
BUY,0.00600000000024,16666.666666,1752020829,Yes,0x1f39811dba4e0af11b12ae90eb92b7ddd4755ab14c1ec3bf728b74feb1e456b2
BUY,0.995,698.23,1752020827,No,0x363a24a93ffccb6d0eb325484488dfb1f04e6df020a00a5fc11e69deeddc2e41
BUY,0.995,2000,1752020813,No,0xc7f4c8773c34873ec71b6cd6927ffc6513c4b7673691769fbcf4419f94199f37
BUY,0.006000000000044446,44998.333333,1752020809,Yes,0x82782c6816695c4a48661e47c2052d253a8cd39c56a17fd9a2094629cae77034
BUY,0.995,1006.5,1752020805,No,0x0989e10ca3780713d3f9bd3c1dd935380e4f976030f87e1c2c038fcd371239d4
BUY,0.006000000006,333.333333,1752020789,Yes,0x3eb08483b97bce497e127f03bc7bb266982df6c72097c5c9f665b84be8f3e189
BUY,0.0051516252089627975,1941.135,1752020775,Yes,0x67828d0e5088dda34d3252de668da085f467e19a36fb25f521e0fa184100c59d
BUY,0.005,16000,1752020769,Yes,0x63ca3a6e2143a6431c81038bc323b9b46a95b8ab2a0336444fe0f3c0c6885257
BUY,0.005,5000,1752020767,Yes,0x662a82f54fdf4f743c5a9f539b41d2320187c14e2d0917573aebc4dc72e67f9d
BUY,0.005,4000,1752020757,Yes,0x861ce5d3a98e005141cb44ea12e85037fc0161965783d80fc4e868a645c91cbd
BUY,0.005,2000,1752020755,Yes,0x794f316483a1fe30c58533be7ec576781e819a6bc4643c416f226969551a3343
BUY,0.005,5054,1752020755,Yes,0x5f17c9a4a9b04e3514e90143cfef1830883dbab9c9163194e81c3f2a11b49e2b
BUY,0.005,2000,1752020747,Yes,0xd66aed753df9003132b0dc5abb91584648d53ff4fa058988b31c6e5c7ae9a6e9
BUY,0.005,10640,1752020745,Yes,0x4341551396c500404b418b7afc3e1622a6659e7f1bb71ee70f8710c98befadc1
BUY,0.005,1000,1752020741,Yes,0x9b7636c2d5270f9d6abb705fff61611f380acf13922c9dc72119a0aa45a09fa6
BUY,0.005957700327673518,8392.5,1752020741,Yes,0x3b6e1c5978a5bcd5fa0a26fe9b554484b5595f8751c23ade62cb5d11383bdbb4
BUY,0.996,2.008,1752020731,No,0x9024356a7dc47703a011cb99d430e54aaa16a593933d14422b8179c43ee061d6
BUY,0.005,200,1752020731,Yes,0x80eec33f650454417fef207d6bfd95b6457e64bdb79aa00e46b960129667115d
SELL,0.004,47338.8,1752020729,Yes,0xf0c67c9df3c0adf620dc6c37074da3d269f0be1ff2f35d93f3edcd5a2cc08699
SELL,0.994,1.03,1752020709,No,0xc1f4ab23548e22aa1626b45cd24dadb9e9508d319a87184203722db9659afa83
SELL,0.004393993939536409,17866.62,1752020699,Yes,0x3928b09dc61ab3161718fccb2701207493b7aa7bfd4c6f9aeec9ea6636ab6e1d
BUY,0.006000000000242989,16461.666666,1752020687,Yes,0x9800447799d3d9e2f3e09f54970474ab9637245f32d3b214c62b6ac94abbb918
BUY,0.006000000003183024,628.333333,1752020683,Yes,0xdbaced598d7c59559b5db6262017de94a15a5e603b7d886f922a56da5679deac
BUY,0.995,1.005,1752020675,No,0x56e091af158aadcd04a68e93d50fa645aed7e085119b4b5c9ae68b25649b25b1
BUY,0.995,95.47,1752020675,No,0xf50de0d43edf373100f8fe209f3aa44dbb66474a5ca5c9e869f48ac8c32bb085
BUY,0.995,1.206,1752020667,No,0xe8cc968d660644feaf4197503c46348a8c25bd6b8cc221d0e363b8a8129d5553
SELL,0.005,1,1752020659,Yes,0xee437aca72418b8e46fde7c8081d5e05644510279005b76fa7c96ab8ac273276
BUY,0.995,930,1752020657,No,0x4e7f16f4200dd39df8cd488e748c227eac37665c3b2b90594e6d1fcf6e5bdb91
SELL,0.005,94677.6,1752020635,Yes,0xbe7ab2db77e3b0f9f367357829b60c7eef0e5ae62b3ea0ac3a5fa52cba2c590a
BUY,0.0070000000022795595,5702.857141,1752020635,Yes,0x1ebb49d1b4c6831b49dc3d911c6849696588122442f5cf1d24cdfbf12798c8e2
BUY,0.0070000000005133334,21428.571427,1752020621,Yes,0x8b4f9ebedda8af0026fa5ea47ae45030bfb1a7635b103003ec395e8740fa7814
SELL,0.993,1,1752020613,No,0x3983ac2b280d6b907f51bd1d4547e8b79d89961a94f559b04c625a65a7404ed9
SELL,0.993,1,1752020603,No,0x600877f57f644a5e2ccaa70388b22ab9f101bf262164b48921cc811d29dcdf8a
BUY,0.0070000000028,3571.42857,1752020593,Yes,0x89e299c2eac03ef492a621464ddc962c6bcb2944ed87588f10df7004735c7dc2
BUY,0.007000000091000001,142.857141,1752020585,Yes,0xe09454eb773a0d134c314b1224bde7cbbef192b4d3c32ec8870528118ffc3c59
BUY,0.0070000000077,1428.571427,1752020585,Yes,0x329309947ade6b3a4649a86b84b6f3fe120a815fb45ac3ba61970b7a8f7c8e8b
BUY,0.995,981.02,1752020585,No,0x7a51f35196b5778e8033f43e49f176a238baa1b451eb94af6d95dd4b8afdc9be
BUY,0.007000000025666667,428.571427,1752020585,Yes,0x6188dfda91bdca0b0adfa3407d44def2a6db344253c64625eb600447e1983dc5
BUY,0.995,3.3164,1752020579,No,0x56342d10973b251fd2f0db25524d038d391a00aa159ee709b593b63d55e9c240
BUY,0.00700000000268714,2977.142856,1752020571,Yes,0x9dca23e88e74be9ca27bc2442057da18c2e45f35e39c910493a26314168f7a9e
SELL,0.005,1250,1752020563,Yes,0xae098e3b95cca71c1a23579210c1643d6f97897ea73c73d600ddc7c76a128f70
BUY,0.0066979257393994926,29562.88375,1752020559,Yes,0xb375a4623aecd0bb6f108a816271cdc7f09ff217bb13b56e900aede22aa4eab5
BUY,0.006000000000480384,4163.333333,1752020553,Yes,0x8d331ef6342a77461b2c4f8bf07e4f2603f38c445b292b8f92715ede72410c21
BUY,0.006,1000,1752020551,Yes,0x0c60fca8766a4fd39d33bfb0ba9ca1d7e861cf92c6adaf22521473f6ee40f601
