market_slug,question,resolution,side,price,size,timestamp,datetime,outcome,tx_hash
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,14.18,1728035969,2024-10-04T09:59:29.000000,No,0xff143743d7792ebf1295790c77311902de53a69ad77a7e564cfc848715c11ee6
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,16.21,1728035971,2024-10-04T09:59:31.000000,No,0x5e7b282f99b92f11abcd2bfabc770e053ff69dc4beaedb774f91c97c321c465a
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,14.18,1728035977,2024-10-04T09:59:37.000000,No,0x0f6a08cef917bc864d48e43a31ea7c80b45e12827ff97c0044735325fab9f2e9
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,12.16,1728035981,2024-10-04T09:59:41.000000,No,0x2d33fca5844298424fe46f2a6f16679bf98b01b75174c54a9ea62e8501d5f1c4
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,SELL,0.001,91.21,1728035983,2024-10-04T09:59:43.000000,Yes,0x7d0fecb1ca9adc35c7e7f224ff6f9b18a8c342938a97d50c03a452680345a33b
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,11.14,1728035983,2024-10-04T09:59:43.000000,No,0x4c0b73d31f92bb2d5ec3b1dee2d025ba87059db568b46bb8b93c88722d60e9d8
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,13.17,1728035985,2024-10-04T09:59:45.000000,No,0xf9ed80b05b4af46f011a33409a5900b997e0b186eff3f547f6b07eeb9713fa22
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,20.26,1728036017,2024-10-04T10:00:17.000000,No,0xcd6b4eeea1f0d232cc79ee1fc2a23fed3fbd4da8680d96bb71920521063585af
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,18.24,1728036145,2024-10-04T10:02:25.000000,No,0x8fe64c139ece1f9f7500d586f451bf1dcfa5bad4dd1a5ae116713aac9475ca76
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,20.26,1728036253,2024-10-04T10:04:13.000000,No,0x748ff52647539716d007649661feafedbd3e4c3de5dee1143a60e2c2206815e3
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,0.1,1728036467,2024-10-04T10:07:47.000000,No,0x02770a0192b4b5d969ed60d9d07ff34290f05f8a7b96a4156ecd2ebbef4692dc
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,60.67,1728036627,2024-10-04T10:10:27.000000,No,0x52458240c072b758bf5cdd57f8d98705f12dff542eb8da206bb4875388918b35
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,190.0,1728036633,2024-10-04T10:10:33.000000,No,0xb35001d76c826660b51fbb599eee6648c8ac7da3c2e98d872a09783cb78abcd9
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,BUY,0.999,190.0,1728036649,2024-10-04T10:10:49.000000,No,0xfa3da82820047cab6730c5e25560e2cefa3e33645bcbd637e27c72c13ec3eb43
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,SELL,0.001,8.1,1728036835,2024-10-04T10:13:55.000000,Yes,0x9fe75c82d1debe8baa76372f01d7de1f904dc44eb9ccb938f22b7eba24fc5c72
will-gavin-newsom-be-d-nom-for-vp-on-election-day,Will Gavin Newsom be D-nom for VP on Election Day?,No,SELL,0.001,10.13,1728036921,2024-10-04T10:15:21.000000,Yes,0x5e25147c2ffd1d2b4b8b362bc6ef0583a4f74bc7afa813252a81d82dd266363b
