question,slug,condition_id,token_yes,resolution,volume_m,end_date
Will Donald Trump be inaugurated?,will-donald-trump-be-inaugurated,0xc3d4155148681756bfe67bb41d8d0882a8a122e7d3762b3591bf6598c9bd198b,93282891591459983862012065600381847009958447919673012406534124867440447804923,Yes,400.4,2025-01-20
Will the Sacramento Kings win the 2025 NBA Finals?,will-the-sacramento-kings-win-the-2025-nba-finals,0x763cc84a3cde36b9ce12a8afe6d3e1e3e46e50692e8ec47636c7803c1033cfab,41257670817876317355997233596113195194194608207987371129645019730826567930842,No,378.0,2025-06-23
US forces enter Iran by April 30?,us-forces-enter-iran-by-april-30-899,0x6d0e09d0f04572d9b1adad84703458b0297bc5603b69dccbde93147ee4443246,61831929985019889659718073636820017551617034196665695764680413265073804849438,Yes,269.0,2026-04-30
Will Zelenskyy wear a suit before July?,will-zelenskyy-wear-a-suit-before-july,0x655e5ca101c466b6293aa15e06173b78b293221803d56e35551f708cd82eb352,50456034003768780640090640673183716247804249213073893742601498049736025131399,No,242.2,2025-06-30
Fed decreases interest rates by 50+ bps after December 2025 meeting?,fed-decreases-interest-rates-by-50-bps-after-december-2025-meeting,0x6903b766f5fda3d5b02f4472a6b4154419e78b7fd126c0b29ce17bb8e20b20cc,47783403574993523839437960779660432019918826248568025803540621408629700723282,No,161.6,2025-12-10
Kamala Harris wins the popular vote?,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,21271000291843361249209065706097167029083067325856089903026951915683588703117,No,163.8,2024-11-05
US government shutdown Saturday?,will-there-be-another-us-government-shutdown-by-january-31,0x43ec78527bd98a0588dd9455685b2cc82f5743140cb3a154603dc03c02b57de5,52607315900507156846622820770453728082833251091510131025984187712529448877245,Yes,157.3,2026-01-31
"Russia x Ukraine ceasefire by May 31, 2026?",russia-x-ukraine-ceasefire-by-may-31-2026,0xa93b28a6384aefff4e7d5adb2061c444e4a0e95b8ad17755f9cee123c7099b35,87437621843960456561498668920524001561920882979534703266882268268665025278543,Yes,141.3,2026-05-31
US x Iran ceasefire by April 7?,us-x-iran-ceasefire-by-april-7,0x4c5701bcde0b8fb7d7f48c8e9d20245a6caa58c61a77f981fad98f2bfa0b1bc7,90459175218869765867413568020773869777619052023742017267782023977614484413316,Yes,173.7,2026-04-07
Khamenei out as Supreme Leader of Iran by February 28?,khamenei-out-as-supreme-leader-of-iran-by-february-28,0xd4bbf7f6707c67beb736135ad32a41f6db41f8ae52d3ac4919650de9eeb94ed8,83041975673421895453085660889779093985671069706481408745561832618462046047376,Yes,131.1,2026-02-28
