side,price,size,timestamp,outcome,tx_hash
BUY,0.001,1000,1747428383,Yes,0xc72212e038944842a7f9d536e07bed98ef9981403cfe37398101d6967d29e42c
BUY,0.001,15000,1747128997,Yes,0x0ebb73ddaee9546d262db0ab1bfa347246cd5e5bf0fb221976c3dfe5d1b50668
BUY,0.001,1000,1746739049,Yes,0xb7dc161bd5c92562f966e38ecf5420a509c40a1e5e3c01b8ab965c467eacbe1e
BUY,0.001,1300,1746528556,Yes,0x3e215f38a42df33c88c3de41ef69db2c2d8d3a6a4444ff9aa012d8d8aa21e6d3
BUY,0.001,1000,1746425382,Yes,0x3390878138d0f32920bf396476253714617d8c2f38d0610018cd931169c1b35c
BUY,0.001,1320,1746419396,Yes,0x7d059fcfb428e894c3523a461d84acf087b7e5e5af05c7aa373b3b1c43bc7531
BUY,0.001,1000,1746414264,Yes,0xb188ad6768bdd92fc5e85e8ce0d97ccd76ce540558646fecaa881046f4077299
BUY,0.001,1370,1746389303,Yes,0xf950579902bb2c7b59445840c22980b10ad1782127f1fcda8e77c2eaa77763a5
BUY,0.001,1140,1746384147,Yes,0xdf5f916211d68cd518884ef23abd96c2976047bd43859258e481143f73dbc487
BUY,0.001,1000,1746378678,Yes,0xb816a24f0de88e68f06b3e9859a721125ca87a20702285c9519a70f0ede13169
BUY,0.001,1000,1746366251,Yes,0x11a69d2881c070b8491c3f8f516db483d9ebb6893b88d51026e3262ac8853641
BUY,0.001,1130,1746365589,Yes,0x6374763f6addc8515c3da991dd25795b41c2158c9956fd55f24eceec08b5cec6
BUY,0.001,1320,1746363275,Yes,0x933aee1b3578b779e716141dfff861ac6efa9d7f0fd3137f745388a516849bfb
BUY,0.001,1040,1746348830,Yes,0x5d7617d947f1b65351773091883210f49bc775ae265523a18198a347fdc9264e
BUY,0.001,1390,1746344859,Yes,0x312de831e14265fa0f481c00de2c731fe6703ca011b274e86779cd5cbef992e9
BUY,0.001,1150,1746102397,Yes,0x12309fdd87a53dc8548de1b807549d79117dbf6a1306dcd9e91ca6a7f5781a44
BUY,0.001,1100,1746094001,Yes,0xc3c3e5dc01bd8f322f634c73c52787e49f795afb5a08b95ed222b00eff424aba
BUY,0.001,1350,1746083013,Yes,0x564a8c85b3d5d27a34f7afa2ee105aa527c35b1bb4b079a40a1446ac81ccbf67
BUY,0.001,1220,1746078609,Yes,0x97c5a777cef6ee4eeccb7f40a332e1795ffbcdd3805172f88ebf4640fe359b11
BUY,0.001,1250,1746078321,Yes,0xe5fd2eb91d22c34a2e6caa9f4cc812393cc77aad9819e8e80f93175b14d6b7a3
BUY,0.001,1100,1746073399,Yes,0x2660661680e44397cfb5a495c5c1e79b46e71f13fa3bcc7f077e3c31cd9563fe
BUY,0.001,1000,1745913777,Yes,0xe7963185b10e761f19707f6d0eb791ca0248b8de2aab23c3bd2ae2098941a46d
BUY,0.001,1320,1745900760,Yes,0x079c85a990ed87b84b5323007defd5da7852416788b9a0833d3c4c1cabc88722
BUY,0.001,1000,1745494351,Yes,0xa3b65e68c2256295630aa4c6276b00117e83971a69e34ed725fa444b76199e29
BUY,0.001,561.25,1745355385,Yes,0x08435ab21848942cee8d588054c105c8cc2c477c3c56a3843c06e0f4cc5f9fe7
BUY,0.001,8628.75,1745355385,Yes,0xdf253e276cea6b812a4bba6f4d252c6554bfc5e6b3342cc58d3e4d8d7d74409b
BUY,0.001,3000,1745323603,Yes,0x5fd09ccd4962bd4330eb90e2c7a61804c18a05191e6898747103636614e1591c
BUY,0.001,1000,1745238789,Yes,0x0e7ebd3cadbac16873331cd69f6741a8ac9663e04d66676d12c0d456bb0b8ce3
BUY,0.001,1000,1744991625,Yes,0xc3dc1f3bcf057974e3eb171375e812b871aa07f7fca12464111371337a0a5563
BUY,0.001,1410,1744971098,Yes,0xf3a870c4f361355afde9115ce78500f95423ab4f46bb5a32bc6a2a94b061ab95
BUY,0.001,100000,1744922017,Yes,0x9269e5a0de9645e63dd6dd40fa0fee93c3a89f5f28e435006b7b376cdb37c7ff
BUY,0.001,1000,1744826642,Yes,0x80f18f0f75aa5ed6908e3942bc872c14f0f56ae3da451d501bc9b8ec6e3c9dd7
BUY,0.001,1000,1744820437,Yes,0x0b303a6958cdb4d04636a7ddc2950c9e2b463b8223e805dab31411f69f7ceb03
BUY,0.001,1000,1744743711,Yes,0x9ec97ea0488e48eeb1ab1f2af7d141fdb463de80be665db59783c6adf1dec16d
BUY,0.001,51820,1744710511,Yes,0x67879ecfcf04a29c54a59c8cdea9a5cec7730054729a4223e0812729e7f2ca88
BUY,0.001,54980,1744710421,Yes,0xe467d79a32731e708a0342f2595df0ac989782de061dfc86c2d3dd38954bee2c
BUY,0.001,21212.14,1744710281,Yes,0xea799305e4ca041475df438bf26a5c7b3719285a921c078ef6ad5f21cce859d2
BUY,0.001,28022.24,1744710277,Yes,0xcb0d290f2d250a96550f7dc673d2f62f190568242088804ae0189aaf0e25b868
BUY,0.001,5625.62,1744710275,Yes,0x45e405886ea0c4153cd1228e5c9f265612fcfb131b43b9bbb2964bfc91b114d0
SELL,0.999,1.42,1744105883,No,0x819cdbeeec5bf98440c76a36fbaa9d93fb7f140b80020c1a2a2010a69e3b8057
SELL,0.999,1.5,1744102687,No,0x8db010229d31fc26950624f6482dccd871f232bfddd22dfc9e62fd1babd70780
BUY,0.001,1060,1744010851,Yes,0x1973a30a578aa592b2cee8a1064253776dc862009dbea8b33f126651ce01b7e3
BUY,0.001,52540,1743987947,Yes,0xcae4b6c493b9a0d7145341253e855c13930c6ee517791b805057592deeb3244f
BUY,0.001,54360,1743987457,Yes,0x62c1131f77c49680e02c8b0c520e71f5098e9f00b93e7c80ce53bc7f150d646c
BUY,0.001,53450,1743987071,Yes,0x35b7631471a072189fa4f2675b30d5dbb83d637b6e837e3c6f1ae884f2783ce3
BUY,0.001,52490,1743985879,Yes,0x71637115fbd31767296ceef4b20ca12cda270f6896d69cabaac4e98749feade2
BUY,0.001,55040,1743985177,Yes,0x6ed64c839a4b0c1c0394ba0bc0e3e8f3dc04f1a314c59ee6b092b03b055caeaf
BUY,0.001,50650,1743984695,Yes,0x19576b3bf9f841981234f39b1b07bbe60c49a77ff98c094cdc0f67638b223139
BUY,0.001,51280,1743984135,Yes,0x69549fe4e0dd5755bfd922ccb24167a4f0286b4a6da1f964bc35815473bd5c7c
BUY,0.001,54180,1743983629,Yes,0x9b3efdaa72dcc254598f6c025bd45770b374341110756b622a3ffc5659390766
BUY,0.001,50860,1743982731,Yes,0x1be52ba3308c432cd360bcd3d15aa6f4137e7a93217b682a823e888663e5523c
BUY,0.001,54620,1743982251,Yes,0x5db28e371e33f253799151f121189c85232b8c7c2593ebe3dd9644867d1a1d7e
BUY,0.001,50820,1743981835,Yes,0xd441f0507313bd5b8b60f59e5b3d93327edb9e1bde7ddca57fd8f95c412afdd7
BUY,0.001,54670,1743981257,Yes,0x03d7ba8e4b11c733ce3fcc912ba8c524ed2bad81c6e8234359056cd881d26586
BUY,0.001,54330,1743980407,Yes,0xab95764ae9100ea012fe7dfc54bbc3fb683f198222cf13306bb4c78719374cec
BUY,0.001,51970,1743979749,Yes,0xa911bb1d132911b3ccbce6dbc80e7454209e6d59230892963253479c87648a6c
BUY,0.001,51700,1743978999,Yes,0xefa614dc9c9f57f7d5c93ee9b49e7ddbae07ec3db684978a6b351d7b56fb8f18
BUY,0.001,51870,1743978609,Yes,0x8cff690f533172920c3f7a8880f08f173c836abdc63622b49a5fb5b5f804c8fb
BUY,0.001,51270,1743978223,Yes,0x0e24e8dfe0a79b88ead4968be54ae40659acd439fe7ce9e4fa7585f423de3d05
BUY,0.001,53220,1743977647,Yes,0x694325eb15daf58639aab830183232017d0fa6b456886e2deeaa37aeef9c4d15
BUY,0.001,51340,1743977095,Yes,0x71fd91e85f88e9a2e7f064d05051467d2b17763f93a350d10aac283a578f3a87
BUY,0.001,52870,1743976785,Yes,0xf22b44564775920726755bd609e5838ecdb2c337d506a33370827b31fe235619
BUY,0.001,52600,1743976181,Yes,0x3d1e984e84733fad84cfc27ce4acc477e5ce98fe1e82852ea3b1d22d847bd825
BUY,0.001,52080,1743975775,Yes,0x14a9a7aeac4f32a9d560bfad228c18325eb3ef00cfd9817f48f1a9ada50e8c15
BUY,0.001,52730,1743975089,Yes,0x7c25f7da1b46e536002b0567dbf8eed3d863f8cb9b4a4b6409cfb8bb409b56c7
BUY,0.001,51210,1743974331,Yes,0x327403942421788b104dc61166aca88160fd86f65fb85608923cbadc9fa5389a
