side,price,size,timestamp,outcome,tx_hash
BUY,0.001,1000,1730921076,Yes,0x42f571ef5acd8b4836abb3518a8a5c9cbf5bf91c6c194a356392a5312c07a2c1
BUY,0.001,80,1730918293,Yes,0x32a5f6143b7afe7458c348f019adc4b2f57ffd261d421a187a1084323340f1a8
BUY,0.001,70,1730915440,Yes,0x44e348333eb8291990fbca71d5d3a1dc69d95abb06d597d9a26dbdfc8b37eb9c
BUY,0.001,1000,1730913102,Yes,0x28f283875f8e1933f5fbc497ad7a7d91450eb7f526092bd0ee6652a8dacbe3e8
SELL,0.999,1.69,1730907890,No,0xf3b69a9602d2a07907b1e9c8befe78daf5a3a507b92157368c16b15cc9c92c39
BUY,0.001,1000,1730907069,Yes,0xf8dd6c12aa7a77aaf4fe5223d742a4d81dde711efb8d9564bddaf779ce6d732b
BUY,0.001,40,1730906713,Yes,0xaa59c93b31bcdbbf8d3f4ccccd7c152bd8097d723ba708cea2dc637eb9d69600
BUY,0.001,1000,1730905756,Yes,0x91f5a10fb677356f4078da059e5d9bb9c9349b3c4edafbb780a744c3c748e83b
BUY,0.001,1000,1730903725,Yes,0x0907643a49ed5252b5ddbce6d15400ee7ba2d7be0fdd9a6e17b58c3a8a1bb631
BUY,0.001,1000,1730901732,Yes,0x5830c0d1c728e855bee6d85654e5ab4105800a3942cce92049e60273b089c415
BUY,0.001,1000,1730899071,Yes,0x9ad39c11e4d54270a113f46e7d5403e99f4fa5f0996f089ee5bc9ff30843a400
BUY,0.001,10,1730898095,Yes,0xf1181fd6c7eddb48f69c70f128ec3f1a8b1b6b901cf6b1b4211dacff5945fefa
BUY,0.001,1000,1730897579,Yes,0xde7ed561a0fd617672e32d0ecd204dd57c5837ecf9a9a9efdf6b74e593027adc
BUY,0.001,1000,1730897579,Yes,0xf1667a1d0fdcf7bf6cc3b9b1ca9c6334c6a62b0869d0a0b82d4afd175c831cd2
BUY,0.001,1000,1730897577,Yes,0x8ae5b0216217937a6dfff0a487558cd26c58bab201f438e2648f4315ea85995c
BUY,0.001,1000,1730896286,Yes,0x866cf6c946f0dd8e9cb732efd9fd8a2ac1bbf239bd657da63a4043dfef926ee9
BUY,0.001,2000,1730894202,Yes,0x81639828bc017290a55c8c638ccd3b342eadc15abd6e4e7a79fb590b383743c9
BUY,0.001,3000,1730892797,Yes,0xab6b5cdde4e339fd5521fb78877bd03580f9f5e672d9d926764176967e8ab1ce
BUY,0.001,1000,1730885773,Yes,0xaf9a2216eb82424742563b8783a3787741f32dbbb97f7c47ec2e17d445e4bb6c
BUY,0.001,645.38,1730863417,Yes,0xc1d08eba948b207b165164d004b70151794a33a645800735e9df77683ad745d9
BUY,0.001,34470,1730862943,Yes,0xc966a6b044de8a21dfc5fae47b690848bec47dd6ea6245937fad210841b7d0c1
BUY,0.001,2990,1730855705,Yes,0x58c5f440305ac972949e0fe434441dabb35f4e4a8a2b9797cf4c03d965f06139
