side,price,size,timestamp,outcome,tx_hash
BUY,0.001,1000,1730921072,Yes,0x2c4f44f58c28b244d93560920fed678448c8a1e064f76efebd16aa3bfc0dd60c
BUY,0.001,40,1730918342,Yes,0xe0b7f8fbf6cb3698359c990e32456c39c015cdc090ca684565c01604203bd511
BUY,0.001,3300,1730917339,Yes,0xd8d490cbec0e786c30333bfe15666df55b2636b43eee79bb793eca8d83363944
SELL,0.999,5.01,1730916258,No,0xcd223dfe7e7d579f871c6815c7b3404b02ee2fad19d9bc2e9eb244ffd8d092d8
BUY,0.001,20,1730915404,Yes,0x408e9e5ed0c2e520747daa2d5161588bb896a1bc9be7ed3eb3630d20307d5b0b
BUY,0.001,1000,1730913100,Yes,0x4cf0e4138dde7aaf844ba986c332cd62f7afd95d5e4de6cccee3cb5bba93c6ea
BUY,0.001,5680,1730907564,Yes,0x81c83d16dbad1c8b68dee82b041f91b38f5ecbb04dd4dbe249636bd7df2f3f04
BUY,0.001,3490,1730907422,Yes,0x48ae9a3dd1f9266fa0e75e6ccfeea2e36578da2dd22b2f85ac1bdc6de430c670
BUY,0.001,6840,1730907255,Yes,0x4c5730d1eb0a52c0b58507ffa47496cba3448e38ba3db27bd8f847886b66ba1a
BUY,0.001,2190,1730907081,Yes,0x65013b5a4e1a8a45b547a6769f0d73cea663cefe6f4262031145fa70604506e5
BUY,0.001,1000,1730907067,Yes,0x413ecfcca13336a1370b965a441be398b87208bc1e0a979232bb176aac355c79
BUY,0.001,3330,1730906951,Yes,0x6bc202e7aab2285d73ebe7526b4cb8128a22d464019b3120072ec0a37327a3be
BUY,0.001,2370,1730906835,Yes,0xe1a92780c8ab7213c5e7a67d63f7cecf0e55bd9389b7b1716b7494044af51261
BUY,0.001,90,1730906721,Yes,0xccf8d8a922e40580ef8f0c7636f3732c0134cbf8b0dac8bb5ac021b2d06e75f9
BUY,0.001,4210,1730906693,Yes,0x67dc444ac0a56e9334d32d184ec684ac0c346e4b7306b492a04d9eee29daaafa
BUY,0.001,3060,1730906247,Yes,0x3ba7370aac0654e0d54fcd73839b9999d5ad4c3699a6e35019d0e8dcfc588c40
BUY,0.001,2170,1730906086,Yes,0x1d9a8f2fd0b85e3e1ea23dfd8e234e4f74d9eb377999fd8db3c1db7bad7b9ff0
BUY,0.001,1000,1730905752,Yes,0xb1ebb7cc0953b23337e5b37903668123055339a158fcf1b5954d58fff7a44d92
BUY,0.001,3110,1730905420,Yes,0x2cfc736eff22e3b259edab31bf29ebe2b91f6f81cb8ed8e05b2f055dce8156e4
BUY,0.001,7.63,1730903387,Yes,0x311f380a988b5dbc1509594ce7c42a8149495f7af3eb5054d595ee0232603275
BUY,0.001,1000,1730901728,Yes,0x7d74bbbe09b98f9cd22584a86a03996244f5dab6840323567a7801cc43e27e37
BUY,0.001,2000,1730901362,Yes,0xbfd80b5cf5f012b21b13400574a72a553dce5bf960d9ad1f26f7f2e11cd616fd
BUY,0.001,1000,1730899067,Yes,0x3f421bb1ed8ebd2f4a7159fd808aa2f89fff5c6716e05cad7c1e6a993ee4ae0a
BUY,0.001,1000,1730898769,Yes,0x23ee2cdd879898335705a73d1baa9d6e5263d9ea02dc5146e69f6b3fd1003f2f
BUY,0.001,1000,1730898661,Yes,0x86af959a28e2e9873129d48b4ca4584deb25bdd6af796f22c6b59c1a2ac83392
BUY,0.001,10,1730898099,Yes,0x18b90ae3d29129cd0b458cd7d71e3bf64f35f5386db607acec177d9791b5ba94
BUY,0.001,1000,1730896282,Yes,0x805edede20eae73abae73beb410370a0bb59c0bd220b8233128111eedfe5d67c
BUY,0.001,6000,1730895150,Yes,0x11b664f8bf3bb88a879fe65df2acc42b2a46955fc45d216f89413161341cdaa4
BUY,0.001,1000,1730894708,Yes,0x98d11eeeb78f1d68ed83b0ec5bc598e7a53124b3ef81767439a5630714051521
BUY,0.001,1000,1730894708,Yes,0x93ea6f31f80aa1c6bb60acded1647eaf88e9bd4f771a8a2918b53c405d00e3e5
BUY,0.001,1000,1730894708,Yes,0xa01ce3c2054d8e6c7a098bedd74c8e74d3d6e95ffbbeecdb6907720d5894a497
BUY,0.001,2000,1730894198,Yes,0xee3373ce7117172e9f36a59a23a7df4eaa34eac6ccacc7ddd2c082bb18cdc35a
BUY,0.001,1000,1730889410,Yes,0x2730bb030b3e400b7af9262330074d4f0129cb5654b8e2ccc43415566f20c6ca
BUY,0.001,1000,1730887178,Yes,0x434346e0bf2a419450a4388a62a5e111ef056b659f1a6210bc4751206df3adde
BUY,0.001,1000,1730886392,Yes,0x6d0a073ef919251e88c72f71229f14eb186c11f7bbcd8cf09ab5f4e0b8f3397b
BUY,0.001,1000,1730885765,Yes,0x1c35a7b7a8aca8400266f283ff619e4a011e8d566ea05ca2a73e43c9a3095c3c
SELL,0.999,50.14,1730878055,No,0xdb5a8433d411725a538d5be75bf91ff4e7a8d7e15be19c9bb806ef2867430e8c
SELL,0.999,45.12,1730877975,No,0x39a66b80489f73b4a0bffaabadd826fd733edd9e56220aa7785c0a7c4b8b4854
SELL,0.999,36.03,1730877389,No,0xcf778defee0ce0d13b6ae80cb9a19271ed5630072b9a7cdbeb6d560ff688c3ee
SELL,0.999,17.01,1730877217,No,0x08e34aa5e35d235eed955a7c64821d07cc3738ad0419e16611d4903aa4badc45
SELL,0.999,38.03,1730875943,No,0x20c0f88c2fff24baa59abcb21059abaa42ed6be8c8eede918fbd0a70585f8cbf
SELL,0.999,35.03,1730875841,No,0x19b8dcc095befedf9ad5e3428889562e38607584900d404ccfc4b17cb8963482
BUY,0.001,2500,1730875421,Yes,0x1b7fd03648c01169d453309167f0ad420a17cf2f1d2d74260cedd4712ad68830
SELL,0.999,35.03,1730867835,No,0x7a29ea41bbfc60f1b620cd5390269a110f6e41001caebbdccda783889a0bcb0b
SELL,0.999,37.07,1730867653,No,0x574c740125cafd023e1c58d5f29dcf43043697a8e75f715ef5f53b4007e518fa
SELL,0.999,37.03,1730867393,No,0x58266783aeab57aa97d9f77650852d5e702878e015323bb417a5df88b92a2d2f
SELL,0.999,35.03,1730867227,No,0x141ccbce662ee53aec72763cf9c7e08b12832298920c364ce2170578737abb0f
SELL,0.999,47.04,1730866579,No,0xe88f66d8c9f90a6c0f7a139a39650a54aeddb029bafa562e278fe1805696e6bf
SELL,0.999,37.04,1730866221,No,0xe7a67fb149bd2d921d93f7fbd71c64ea0c381ed3656622aaac8bca1f92e5b97f
SELL,0.999,16.01,1730866187,No,0x438c296edfc3c3961f7b7040d3307ee20cf69a9672a94848474d18c8648b5632
SELL,0.999,18.01,1730866043,No,0xeb68defed3b981e5c361efc3ee3610d4abed2c4bdfd94a56481f4316be58feb9
SELL,0.999,39.03,1730865697,No,0xdc5bffe7a5ecd22b6469cdfbe6518a6341deab7d4e62d81a4e26aa5309a3ae71
SELL,0.999,30.03,1730865495,No,0xa4480af8c848ce8f1e4000e980317eb0a0f470ad094d999f6f673c211e4e80d7
SELL,0.999,35.03,1730865463,No,0x3b9369dc8d122ea1d8936af9fcc3006ad4ab2794645c6b0025f5d36af4ff642f
SELL,0.999,35.81,1730865443,No,0xdfd7166f75b8c3a228879ff2a1a37ae1b9dde94183e34a19800092d66231aa63
SELL,0.999,30.03,1730865335,No,0xacda8d04b8bf9d2ef72b285d16f9c8424a1ff2c7f3cbe071c79bc3e4de951efc
SELL,0.999,36.03,1730865071,No,0x94664c885c0d4e111c453e14f5902913187ea23214cd0974c9259552ef060ff8
BUY,0.001,645.38,1730863145,Yes,0x020b7767f5eda44a6582351e35abf5984cc7c52f1b0309e5e13141f44d0b7fb5
SELL,0.999,15.01,1730863009,No,0xbd4faa421b90903549edc502f5e45297ccc6c30c13ff79f5ed5f7c1d51a23c02
BUY,0.001,1000,1730855671,Yes,0x41b6ad4e4b948a31162798d9fa1ffe85299c2cd441504b73f4dc74f6e6ed4d52
BUY,0.001,11.55,1730854426,Yes,0x5cd813c2670efeee5c467f8fa7982da2bdac2072a9560b310764bb6aa25935af
BUY,0.001,11.55,1730854416,Yes,0x106ca27fc431c8066e37008275bc0fa857bc1f0bac9f6efe9141d986eace1fb7
BUY,0.001,1200,1730854116,Yes,0x1f2af76ad32aa95894ae5fe9a6f3487ca50194722645a4641a69e57d23057a05
BUY,0.001,1000,1730853430,Yes,0x9f2fe4094bdf3cb04c37b3d1c41bcd78f7056cc61d97ad2cbc7799e432946a3d
SELL,0.999,5,1730853360,No,0x8817f1c0619aa62f579272e3e222e8448643cfaff48ceda54792fefeadfb4c01
BUY,0.001,1000,1730851554,Yes,0x58206075e54a05cde5d812aa26486f138380ea65983a55eec4949752998d3322
SELL,0.999,15,1730849852,No,0xc0b301ed9b8f8691f634247d250cc29d423cd06ab5fe2405ede24b2f0c27120f
BUY,0.001,1000,1730848719,Yes,0x08bee04f2f1c4ce11b61c73162115cda1f04bb114ff9178e8799c047c4c55abc
SELL,0.999,4.99,1730847542,No,0x9932cbccfc9451d226d534fc772dad2be9011e0ea3cc5658c73aa0792c8a850e
BUY,0.001,1000,1730844486,Yes,0xb5c694567486f2ef67e7999dafef6b93a38fee6da4683eb58dc0ea93823e5997
BUY,0.001,1000,1730843943,Yes,0x3a25954ace276a54575c8aab2e4bf0e51690f1f6a1efd8f9053a33f83a4135e3
BUY,0.001,1000,1730843790,Yes,0x4534bf4083affe186f6d9f62422514f3cfa8c6a1952a3c2e39ac9816dc7c9944
SELL,0.999,17,1730842034,No,0x957b272785424ba11085332a9f71841339982d8ff628825d58a54a56ea459925
BUY,0.001,1060,1730839852,Yes,0x5e2afbda582b9eb081dfe1c8c27afd7115f674c2e9663b66477d9d8422b9cd3a
BUY,0.001,1050,1730839192,Yes,0x94842f34e61b0c7fdcf320e27458f31731002a25fadffe9764f138f74e5f4c3b
BUY,0.001,1050,1730838748,Yes,0x1483fc797edbb9e6857ac006a1c96312caf55ded1be8529da56a28b103ba211b
BUY,0.001,1040,1730838473,Yes,0xbd7ec2de45ba06cc2469d9ef796850fab9c2d40bacdceb18be1b2497f237a13a
BUY,0.001,1070,1730837847,Yes,0x8530f71bf31c76fea8e2ae113e95f5cc8e79a54a2c1937f769c10018c4fb8854
BUY,0.001,1020,1730836979,Yes,0xb73f721c5b3f9800f7d9c2806ed024868b7154119c3005b700996c8404743926
BUY,0.001,5,1730836829,Yes,0xf24c49de2a22ed97f7ca7f831b68c81533dbb949ac51aefdaad7707e951222a1
BUY,0.001,1030,1730836290,Yes,0x9f953adfe257a945b6fedd46d59301e3a25340ce474ebc279aa91e2595c1b92f
BUY,0.001,5,1730836178,Yes,0x50dd74b479b60be525071ff815e39161fb03ebef2175cc559a1ad499e7e01b74
BUY,0.001,5,1730835552,Yes,0xcae43ce7adaf440fc48c32e10fc9867c269be68897d874a819ce733d09cf31a8
BUY,0.001,1000,1730834936,Yes,0x167a75707db4b2cb8f9845b3fe1589a693e99ced3fad2179fd0db118fc8b1a1d
SELL,0.999,0.35,1730833540,No,0x7a88a28252c596c33ddbc41db96f63cd3683b291d1c5b5024cc2e839931e61ad
SELL,0.999,0.7,1730833240,No,0xa4039cd19777f074bf7b93fb793e6143baf65fc4b55766b9385901c71bef33d7
SELL,0.999,0.41,1730832556,No,0x19f606ad15be4e6d966015f011ad0954ea8e23327dd9257eab48fb78a00c2df6
BUY,0.001,5,1730828667,Yes,0x69a4062c43dbd1152564e72901ce1617dce90ed475ead34912ee9a6e42622878
BUY,0.001,5,1730826647,Yes,0x8e130f5ed2b70eb90af7d28f3527a431e02f496bb8ac28c0ab3ca1762edbeeb9
BUY,0.001,5,1730826329,Yes,0x19c16a168857ba11efcfe82a776bc09b4e95b9f33e155c3afc5f030a902ee639
BUY,0.001,5000,1730825525,Yes,0xe66d9d6a4365859da91f62ebdda3d852329b15940928fe24d76c9d5c84de143c
BUY,0.001,1000,1730825033,Yes,0xb1102140db5081c0bdd20db4e743b3d5c8fa810c3ec93d530675cbd7d191a699
BUY,0.001,8.68,1730825001,Yes,0x9fc4c6d78b7f152b113b0a4bd1757b622d54bccde34648dba4126e659f150928
BUY,0.001,2660,1730824481,Yes,0xfede54ecf37a8a4062847487cf040f6a4b0a9599a133d7553da5bd7aa150a789
