side,price,size,timestamp,outcome,tx_hash
SELL,0.998,94.37,1730906435,Yes,0xcef4b27fdb54c6fd8330cb5cb5910b31708201f147c161d541d06e396a1300ff
SELL,0.998,5.4,1730906435,Yes,0x11bce3547abbfbafdafc8b09e43243de8e34b2ddd27d7bf2a9fa280d7f9f02ab
BUY,0.999,0.35,1730906433,Yes,0x2b6365ceac2aa48a4f1975b21b6ae23a767c23ba63a6c0405ceb6e758031feff
SELL,0.998,906.04,1730906425,Yes,0x19085925f028b6a11dadc4c363ea44c808fcf7aeccfe513a51a00d23b66a5a99
SELL,0.998,329.48,1730906425,Yes,0x88fa8629aba970f2e072ddfd7abec800b35e0d0baed3a7a795e4da92a757cb57
SELL,0.998,10,1730906421,Yes,0x79134bb922d559875e378238054979fcdfa3a3fa569fae37a02a061fa5e0224b
BUY,0.999,19.479,1730906413,Yes,0x413eaf4a1d1453f216b06993dff9d7e2e09bbebee1a0055847889471825142b2
SELL,0.998,169.42,1730906413,Yes,0x351c5238ecb4781e3a26c3c61b3efefe49efddb993168310bf6d776afc424b16
BUY,0.002,580,1730906411,No,0x17c9797840bf7435c7ef7704a9965d2d58f6af46ad1f8dcd3fb0cebf88e9b240
SELL,0.998,264.05,1730906411,Yes,0xa8f1d4c6eb3c239f064abb4f5dadfef567b6ef0e19b6b8d4e977d06e8f828f44
SELL,0.998,823.02,1730906407,Yes,0x5acd51170e1f4113a7b7f36dffaaca6ffb53989d481a0eeebb6e349bec9d72ad
SELL,0.9973508703836674,515.29,1730906403,Yes,0x995575ccb6cbe9ee878487a7e3186da82ad20f8a4856c08de04baf666223f88d
SELL,0.997,32.58,1730906387,Yes,0x2086179e977e79e52c628200643cc0c9bdcd5964de3a1d0639a6b431973191c4
BUY,0.998,58029.14,1730906387,Yes,0xbc1c74f60b782f40664454a5c9a865c0fb73be98be10082320dc1443c7f5d1cd
SELL,0.002,180.8,1730906385,No,0xac17bcc7133749456a23033124f353d9171428bc6a10811c3d811ec4c74cb264
SELL,0.997,613.78,1730906385,Yes,0xf3fc3939968b16a4c24a5cda92338e647b10d11d23ec05db2ce567294666bc09
BUY,0.998,244768.1,1730906373,Yes,0xff48a14972837b7ea2072658ea992aab42068fbf2a0b7766799caf2694f6c0cc
SELL,0.997,1.27,1730906371,Yes,0xe69fea741a1de1a2cb3b4aaa6383905a2c10ba34cec7e22365df25926b63fd1c
SELL,0.997,861.59,1730906369,Yes,0x65ef0d8b796ecd6aa238d6fd4184abd42ede720dbbfb65e5724637002e1b8f98
SELL,0.997,1365.37,1730906369,Yes,0x73596382eb486366e154b7e04109e5b6d57ba9edec568f0fb2a9da4973b9d1a2
BUY,0.998,79.13,1730906363,Yes,0x69dbbd222e86e878b6c0cfdbc6f478145c6a9a5942eeaef9093fed46f20840df
SELL,0.997,20.49,1730906363,Yes,0x79cf9bcad8f417b48a5eb670b3b3bee2991cb8d75f81694219ed0daa5b7505b8
SELL,0.997,19.99,1730906361,Yes,0x0ba418867d424299c51fbd27f4e94bebdf76aba466ed6f4ad0c78e834bf5f5dd
SELL,0.997,6609.3,1730906359,Yes,0xbad23ee6a5021fba3ff04b5715a68d8cf21eddb7e2e5ce960a49d03bd0f3a712
SELL,0.997,456.38,1730906359,Yes,0xfa89cbc9cff026b6e540833df17a738e176b539a927593ae27a432131f6cb8ae
SELL,0.997,14.13,1730906341,Yes,0xdccd88558fe7967a30cb61ab339bfdbfb70642f361f06d7e3c6e4d21463d61c3
SELL,0.997,20,1730906339,Yes,0x58ef994fb8aba715637241f3915b167ee3d00a36c2c9a5e89c4465995fd5bbb2
BUY,0.9979999637090189,0.991982,1730906339,Yes,0xa9def2ebefbc49c12f963513cae50254d8192f3a4dd19c2cccdafd2cbb9456b5
SELL,0.997,330,1730906333,Yes,0x1929b5038cab3869731a6ce7b3a9cfb855fa26d69483f38f091d6a10c6502417
SELL,0.997,22842.07,1730906323,Yes,0xa0612a40d5c67ae3ce74ddac7144b3ed2f986b87724bca70b645c47d55edee6c
SELL,0.997,16.97,1730906319,Yes,0xb35002ca016c0b61981109c4ea2c756b64a2b94154c5e0bb42274c8670ecd9b3
BUY,0.997996599393805,0.27054,1730906317,Yes,0xb2b89ee6a7b78c293ea58444e17e17e10e93f3996584c91ae42f6c98b887f282
SELL,0.997,5000,1730906317,Yes,0x795d52cf51620ec623be009cfba7c560a89a4239a98ca04487b6bb5702ffabc9
SELL,0.997,1072.66,1730906315,Yes,0x513b08ee369b1f8fe3aba71ac721773b64d2895bc81e16f3472e8d69ff8a97a4
SELL,0.997,272.96,1730906315,Yes,0x231f96749dcd4bf87ffb9cb6146e356e355bc56eb350fc0ea2a1522dadbd22d0
SELL,0.997,847.59,1730906309,Yes,0xb3dfbcbf49b2ba14aa69e638635478b815d56d4aea1018c6803dc474c04a1aee
SELL,0.997,100,1730906303,Yes,0x1fedbb74d9259ac57eacaf7e210b1608ce65b0e24c872b4b244df07f0a0c72b1
SELL,0.997,16.16,1730906303,Yes,0x3e6de1219e7b1f2b279dc5fba79b1644c1646ce18b1288b8b44e0d3955be314c
BUY,0.998,67.88,1730906295,Yes,0x27f32304e2b79aab1479da7b4501654e536e747965fa3e2317e8311dbe6b68f6
SELL,0.997,174.82,1730906277,Yes,0x8e4cbf3e6f08e73701eb66d921482e0259154a2ef5d486d2dc918ed73346d567
SELL,0.997,824.56,1730906263,Yes,0x2db3f1c96877546ece1b2e14b26f3fbc599be1f36e13030a1b46a8926eae220f
SELL,0.997,351.11,1730906255,Yes,0xcfaa467fd697e4d9b2e1a47df496809489b820a871dff56f869fcf1a59add863
SELL,0.997,1.55,1730906249,Yes,0xaeccad9b6f0a6400e5ea239ed98467f499438230ba59eb123d80210f273b5884
SELL,0.997,4.24,1730906237,Yes,0x32160604abee1746d2eefa5e5be9c056f220f0e86a5656dc2dadbaf8ea429d10
BUY,0.998,55555,1730906227,Yes,0x093722ed0a2e5117d2d2c19690b0829ff55263a74c484d5a0e200fdbd561b93d
SELL,0.997,60.62,1730906225,Yes,0xdb8990860b2b56a990da8a8c527b00223aae05e4286d496f6c1924365214f589
SELL,0.997,12.18,1730906225,Yes,0xdd3e7efb253f73472735d13c5e8810cee41dfc521a92495f69a51db84496ebfa
SELL,0.997,20.42,1730906225,Yes,0xd5d415a3d428f26df81bfebab8a03dcedc0659c191d0cdcf9e562d5f12a0ec2e
SELL,0.997,3020,1730906223,Yes,0xd5117463743de4b0b0373d1074dc59dc01d758a1e2dbd465a25e1561a99dd07a
SELL,0.997,61.57,1730906223,Yes,0xe418e2b7c12b1e2fb5da44239b7f8eeedca87fa9bc56e4e36c7ba36d53b1e5e0
SELL,0.997,859.82,1730906217,Yes,0x53436af83069720bb7082b15c058da1927dba6ebfae12ceb107d5df9dd8cfedc
SELL,0.997,1.6600000000000001,1730906217,Yes,0xcab7e1cb7ba0f66ae55927983666166d70240fa2d4eae4457714bc52d8e46cb4
BUY,0.9979999914551403,60.621241,1730906215,Yes,0xc8c6b3b4efafdb998ddf633cc6623c104e6d7d6a763c194bcdd8f8b1d4fbd87c
BUY,0.998,5555,1730906213,Yes,0xf29673932c62302438c11a185a8b68bbe3cdc824ad5e2f37579b1b7961bdd280
SELL,0.997,234.74,1730906209,Yes,0xc97b7e09912d11ece3a63dcb5df13da1022cccd4ce88c85557af5167290a005f
BUY,0.9979963150621833,0.26052,1730906203,Yes,0x70d8a6ffccb8780025623ac2a983c55df2dd0bed8aad797b732815077cfb57bf
BUY,0.998,80000,1730906193,Yes,0x32ccc8d6ea85c6c2e80ccbe7a1a4727c67fcf8d786ff2ef5af3ee36ad653c474
SELL,0.997,5,1730906183,Yes,0x2b5aa6fa35e80b1e7eab3b324f07e389dc97d584ec9b74dd93916cc915c94bed
BUY,0.9979999857618662,45.090179,1730906181,Yes,0x2bdeb0c9b90d51c374478490529a2da0973ad9edf5707f7cb09a4b6db69ed339
BUY,0.9979999960475248,194.308616,1730906181,Yes,0xa0887f135be69e61b4c2b18be474d7c93ce526b55355b422b8afe6cfb8054b28
SELL,0.997,7961.2,1730906181,Yes,0x05fb153ce4679da57b4720ad3c7f1d7d4ac7427ef9701ab4e1c0dbc283d7cb82
BUY,0.998,55555,1730906163,Yes,0xda9008f19fc4fd8c1ad5af942507455015196eccfc119906f3e3146edf9843f5
SELL,0.997,841.66,1730906152,Yes,0x527ce8c550b59ef0ae460cfc9b7777be3aab7b5f751ed357c4b4281d77b3c75b
BUY,0.998,1893.43,1730906132,Yes,0xec2e85383abcd027b041b003b18913a082186bd4b0f415470885fb878781f1ae
SELL,0.998,36494.18,1730906130,Yes,0x6cf766000fc8c955e6e25bb47148ccc26907b2e2e83e3839c34279f198ff5128
SELL,0.998,2080.66,1730906128,Yes,0xf209d7273e44af036256ac61d62a35949ff5c0bfa1082a3f17d29b9678e8bbdf
SELL,0.998,334.67,1730906126,Yes,0xd814ee508a24ca1440a41ddd2224708ee7d141d0380f585cc187b7ff020cb1da
SELL,0.998,1893.43,1730906126,Yes,0x559db5f4c315a746fc568d5996199776c7e98e44f131f21f24f942fcea8bab6d
SELL,0.998,20,1730906124,Yes,0xc1b2e2b0cab4a064bd5354c2dc698da1df130ee1a8da335a6478cab97e5fb5ff
SELL,0.998,212.6,1730906124,Yes,0x7f2b5a8765e8c8b99ee7ccce48e2c5efa34a068c83fcc9155b3595fa7443daf7
SELL,0.998,468.06,1730906120,Yes,0x3309c8307789133156009f8612854a73cc8b495fb982bfd0518866c9d6d4e34a
SELL,0.998,15.15,1730906112,Yes,0xe630b1d69a19b690bbd7622182a283b80d52c8bbf0f9be9889ebb8ba36d501a7
SELL,0.998,832.4,1730906110,Yes,0xae20e47b0f1888083242ad9fa416ead714f841803b18fa4b483974af979a4ee3
SELL,0.998,852.23,1730906110,Yes,0xabd16345622eb3eacabaf68ec0ba90c2aedf7dcfdadb0997181ab576a3ca83cb
SELL,0.998,1.67,1730906102,Yes,0x387ce6e088b16b3161af65710be4415e9e428223a95e8b821636d6714153ba2f
SELL,0.998,421.35,1730906088,Yes,0xc3068d6c08f6566f2170ae9eea2f64ec78f6757d041533570db0790e81539ad2
SELL,0.998,761.52,1730906084,Yes,0x686fbbb92d6218541027a018bc4c624b6b6ee08d60d15be47e70725dff38fad9
SELL,0.998,1123.6,1730906080,Yes,0xb739dc89859f70d5dda246c21121bcfca679b9548df2449aaff9633cded2ff2f
BUY,0.002,15000,1730906066,No,0x5f82572702ac27daebb6e2912fefeed21531b3ae68adcff0e7d7e08b549f28c9
SELL,0.998,840.55,1730906062,Yes,0x7dc681c1155085e69272bb313171f312385469f783d3e43db7f36748228b6db9
SELL,0.998,16.15,1730906058,Yes,0xbc0cbc6f6d0dfb2eca828e1f06944ddbaf333f00dda68fdd3c89f14ccff3d7d7
SELL,0.998,282.56,1730906050,Yes,0xe574d49b9df3b391b4fed45c81971763ad2bf7196c826f0270824ba81710da96
SELL,0.998,15.15,1730906048,Yes,0x17fb63c45775e0085ab869d7a69d6edd511023ae62ac40ecfc4259852de9eb18
SELL,0.998,10,1730906042,Yes,0x993e9b03c0144952b9655bb20c987d5a70a149bece4f9ac092447a3c4dfcc0fe
SELL,0.998,3008.42,1730906036,Yes,0x53cb4b4760dc46fbaa7709d3f674a9b8704dfa302b756494440c96ecb2c04adf
BUY,0.002,10000,1730906032,No,0x9a890e247d899b4a247a6926819817493c99863d0a6aa8776a0e658d8de2dc95
SELL,0.998,529,1730906024,Yes,0xe9f2a7a7689db8cb6f0dbff213dfaa125765cba4c1068c1c60c4b5f57089539d
BUY,0.999,76.43,1730906018,Yes,0x966b30704aa6c2c5ae86d1c5701c2e8cbbabe9429880cb060f999089fc79d136
SELL,0.998,2179.74,1730906012,Yes,0x740ad39d8905ad4be7c31ccb1ec10d7097bc46f0db6e99bd282b79172eddc02c
SELL,0.998,1634.34,1730906008,Yes,0xa807b7349eb9aed9659b3f1fa6411b696938983fd1049365d5d3937f75d58978
SELL,0.998,4.31,1730905980,Yes,0x18412b80a028e55577e65fc9c7cc2e06a5fcd7399849afaa59265320ec7341f8
