side,price,size,timestamp,outcome,tx_hash
BUY,0.001,1000,1730921048,Yes,0x8a9660aea0244715d6706080a01653fcc2286731023bc5a4e2befdc2f18a5e1e
BUY,0.001,70,1730918273,Yes,0x91af0b6cee58c8704a1991c8ad4a72ff7c034e66e6b7ea521c367d3ab53067ff
BUY,0.001,110,1730915432,Yes,0x02f3adb3699c88d70272ef6420eda6f3676c688bbb4d9383b571fe1367b64e50
BUY,0.001,11090,1730913146,Yes,0xe567ee3a2230bd14171d1cd9ceaa04e20b66a2d308124ff47b735e6b605590c1
BUY,0.001,1000,1730913084,Yes,0x0a054ed374ab6e2ea3856ca20320bab77075073394cb7922cfe2b02208106e55
BUY,0.001,1000,1730907055,Yes,0x45ba30ffe088c10c5d58fc46d1be672c1f14966f090b19007f41bc372735b8fd
BUY,0.001,50,1730906733,Yes,0xa617f65dcd08c1a2c5827b9e35b3710297148e1f7910fe804ede7bd576380662
BUY,0.001,1000,1730905740,Yes,0x1666666b7ef0978cc197355661895602f170dd9c8eaeb6db6d47050f8b196aae
BUY,0.001,420,1730902380,Yes,0x33bb5315f9618bdcf632fddd823eb34983530a03835e900dde55fc1cd7dae1fc
BUY,0.001,300,1730902244,Yes,0x20fd844b864aaf4784058a355a93dc06b31ff63f3fd59061de5017d6a42ae30a
BUY,0.001,1000,1730901718,Yes,0xc9c9d18e3baf97dd29bfbbc6957ac511082a1b214b8a27a881dc9fb3c341f010
BUY,0.001,1000,1730899051,Yes,0x1c7844ef00f9ef905a0de014d1eefe9c4214ea0f97d93677083560e7b1aec26f
BUY,0.001,10,1730898123,Yes,0x1f121b78d4b6840d598bc85912b0fe3d5ab9be1b077d329d3a0b53a90d0034c9
BUY,0.001,1000,1730896210,Yes,0x12007fcb06eb4b831b1520faae1569d0be7c3fce9a648f06f4828893f96c7f1b
BUY,0.001,490,1730894968,Yes,0x323398a29dda22984d2ebbcc3da757659c44726658347e6596efdc40ac47eb19
BUY,0.001,230,1730894916,Yes,0xdf0b01f43682de442b40476ec4d799ca0bcaf94ee62b6a43f2b55083a33dcda9
BUY,0.001,1000,1730879997,Yes,0xe22c9a118da31771c7496e294d1d39dcba6a15448b9ed84954c4439fa3730ac1
BUY,0.001,645.38,1730863417,Yes,0x402e6e108bc8c1bb6c3331b14af115e24769442c6debc7e2c791e2678d84c5b9
BUY,0.001,1000,1730855659,Yes,0x55e9f50ac4481ab9da12cbf5d0c9099a26d13faf0929866a71ae8943e668f910
BUY,0.001,11.55,1730854424,Yes,0x0ad93c17fa1046e527de2b3f2806ac434a463999830e5dfe71bf142e06b73062
BUY,0.001,11.55,1730854418,Yes,0xa7e6ee3cc649d1f722a6bc0eb1399b73882114e196f2e58f2b676f08444d7c03
BUY,0.001,1000,1730851536,Yes,0x154302f9a486bf92d581ea2d39f368ffb7d74c115f7cba28a8057d7fefcc3614
BUY,0.001,1000,1730846868,Yes,0x149e5e1a73d763fcb9d2ab656cd94e14b8f4ff9d03e6b764f73200c8e333700c
BUY,0.001,1030,1730838910,Yes,0x05c57b4d3a7a2f96e6e4e7a46289f78facb626f965c7503ef2f1139493c57669
BUY,0.001,1010,1730838405,Yes,0x85262a50ec19eac746a88b4f36fb714eadc826a001d98d1557be0a64c9ffad27
BUY,0.001,1070,1730837213,Yes,0xc1663d0217e6963e4a45115c59cea9f83f563f211d5c29173ebca6607da3a9bd
BUY,0.001,5,1730836817,Yes,0xe7889125ae7734dc0f9ed70da588bdc7ee2d21f63ed749534233995dbd50b0aa
BUY,0.001,990,1730836420,Yes,0xbec1475fac217f6c0edce84c4b73faa1376d223d505621549cbee7718e892906
BUY,0.001,1070,1730836366,Yes,0x224f7f0b2ffe195bebf4a8c27e3cf86cd92bbadce47f727f0efe9aa3b05502c8
BUY,0.001,5,1730836166,Yes,0xaa6634898964a5ce009995ffe235d35b749a6a3c798a3f1072188380be7f626d
BUY,0.001,5,1730835536,Yes,0x7c3ebe4809a2a57d0ee65f1c5fbf4db1c2ea367e5017cda49e808cea381e9b06
BUY,0.001,1040,1730834986,Yes,0x11886c82063c89ffb5923563649dd66eac42f9c8953aaa9b757d77f69c41bc61
BUY,0.001,1070,1730833960,Yes,0xc1d801650baad5300b51fbe77b58d42ea995991d1e8fcd16a5fdc8298d003b84
BUY,0.001,5,1730828653,Yes,0xa76ed3ba3c006bab381b284aefac9953cd2ba5a4656db7ef16320fd6ae2472c3
BUY,0.001,5,1730826635,Yes,0x4c19f5cd00c2a29a6072bc5951df45e01ff7b7ee45065cc62b878cfcf7da4ac3
BUY,0.001,5,1730826313,Yes,0xda09f0fb1b4801cd1c8d28c9da8e50d1884bb4f5a0f481147a20b4bec7f93e14
BUY,0.001,5,1730823909,Yes,0x4f57d8542ce55786b1d7eee8a5359f076235387e324373d33da3510a66a58014
BUY,0.001,5,1730823253,Yes,0x23df6b12ae319fda72c73056765def60667badeee204237511db388f0d3cd8f9
BUY,0.001,5,1730821611,Yes,0xb0e48164e9aa19dadc742e6c16f1d199ec6aebe759b82bff89146fbfaa4c4559
BUY,0.001,5,1730819755,Yes,0x00089a3b9f0e4a31e05ac5070066e25a30f7b22d783ab15c4afff6c859f7f3c8
BUY,0.001,5,1730818471,Yes,0x1319054285947bc4a74b92a7d3a5db2e8f1a4a394c5436efc349a03aa529bc6a
BUY,0.001,5,1730812507,Yes,0x9803b144dbfa4a6842d0f4b0e15fdd6d45515d6c2d46967505c8493af3521d23
BUY,0.001,1050,1730811911,Yes,0xff7a12423ae504e9ccff3d0950fee3e1ca12e72da4a15c18760ac4a56c913e25
BUY,0.001,990,1730810276,Yes,0xba308c674d730e4d728214f008c9dfd22d45970179ef7ca8a5667c3e87178493
BUY,0.001,1090,1730809516,Yes,0x9f3e7802c6e36eea0b17c133cd69250a439725a780f686d3e89d0841c45f45b7
BUY,0.001,1060,1730804066,Yes,0xd0c4a1a52cdae387a0d48a1bcbe6a14ca0ed91c3d6de2fa998c175207cd6b16f
BUY,0.001,1080,1730804018,Yes,0x31f10b235500c008cb6868bbda2b13b2e4e971d260151ad964b6fe12e9c7d807
BUY,0.001,1080,1730802783,Yes,0x0f5269192be66cfe236534c5f5fac5a1953ea72427b47ba77816ec6377b0206c
