side,price,size,timestamp,outcome,tx_hash
SELL,0.999,137.68,1730916440,No,0x275d9530a920c4a9622b54c387ff699571ed6e31488cb3f7347c7a2ab48c5173
SELL,0.999,154.08,1730916400,No,0x72f3cff2b0eb776387c80b96b8fb26c32224987c177438e784c67a1f7f15c281
SELL,0.999,85.14,1730916392,No,0x073039d8748900c278e3d7a13fe1aaf8f5d214f2c3d8ae2725747f2dd66223ff
BUY,0.001,5000,1730916388,Yes,0xf3b08eb51e910fb2480ea515e73e316955b4a23d82db7be7ace03a9d81f5c3ee
BUY,0.001,1900,1730916362,Yes,0xe2d24c76a2ca28d62459e79307488f03a13d7db35f06844dbf9fbce88817b56a
BUY,0.001,90,1730916140,Yes,0x958150abd36093da2df419c48888861abc66270897be2f8ed26c16ee0186e8fb
SELL,0.999,1.65,1730916050,No,0x72458dd4acab8eba6396ad4fc77ea5f6843c6c49af14df2c4ca4b9f356b5df21
BUY,0.001,10000,1730916004,Yes,0x2c8ea4a5201b7ac1682fef95115c83bd732b550f020543565c718465f39ea97b
SELL,0.999,180.83,1730915724,No,0xcf21c59f4d7baaeef2df66e37c271a0c8d7a9c8940c610caefd31ee416409dcd
BUY,0.001,10000,1730915398,Yes,0xc5e85d79924d36293ad0a0f9998e8e3670117b8c60a4dddc7bbd1a0c3fbfe165
BUY,0.001,70,1730915356,Yes,0x071c790826d8785af9fd9b76c1fb7850b0e2235414bd8712b0277430e754fb1e
SELL,0.999,1589.73,1730914892,No,0x90960099bbbc0a6460fb93e0eccca7a58024e156e279f524f2374178d56071bc
SELL,0.999,9883.2,1730914864,No,0x36d74211024a0765884e5d8e07f6ea6469b05fe8db186b81c692232e574770d7
SELL,0.001,52005.44,1730914830,Yes,0x8e9c860154d24bdc9937b248cb2047eb43d639f503ed9b53df7ad472330b16bf
SELL,0.001,52,1730914782,Yes,0x8dead59b36a15456235f2fd5e6d2b6cf7234e1921b21b5adba4dbc33fb9de516
SELL,0.001,442.55,1730914708,Yes,0x94b903a9b82d24dc5e5536ca7689eed345423df51ef2eceac79847443650fccb
SELL,0.998,349.1,1730914565,No,0x14cd42882b5434c0fe323017983467f6e491ad473c2377d3368288b8408ec010
SELL,0.998,20,1730914487,No,0xb86f098a36d31310315c3cb48089b5aae42d296275c9a3c6c3bc9c925b76b2ed
SELL,0.998,17.09,1730914483,No,0xaa44fbb08ec10421186896b07a4a727441de7fe1c601f4de70096b149ff5cad2
SELL,0.998,0.99,1730914479,No,0xcf821048568a4ecb1f729e8c6a56a23c3452742457f9956e6c12283add6fcb25
