side,price,size,timestamp,outcome,tx_hash
BUY,0.001,80,1730918277,Yes,0x90c093218f7bf3514faceceab1a4374c8f8ae9276d4d3901843137c06edc62c9
BUY,0.001,50,1730916058,Yes,0xa764ee930df308903dcc2e5eb74eebd5b7e6e29f93e3ff262381a7775b6debd0
BUY,0.001,1000,1730913090,Yes,0x7d361abc847cd84814349d419fd3115de259dffe348432d91790b2de1da64e10
SELL,0.999,1,1730908490,No,0xb60a19864fffa62a285502f66bc271fb8e6b05ac4f3be7cee480fe626bc36d5f
BUY,0.001,1000,1730907059,Yes,0x11cc170377f5ef8d4f90d55f14bae44aa8cc891279748b2c9c322522609fc499
BUY,0.001,1000,1730905744,Yes,0x9be28f7eff79363a3c4a6e8c4155e105aa0ce5245d0b417bc697bd57a690e8dc
BUY,0.001,10,1730904317,Yes,0xcd0e5e2bb55a60fa3096671d68faeb333d730a2a6f316a60579bae7784037361
BUY,0.001,1000,1730901722,Yes,0x36231596899f93590ef745e6eec6257a043ff428b4eaab5e5e99c77a9f25ae1e
BUY,0.001,1000,1730899055,Yes,0xeda679acbc87bed6deae5f8538bda054b151311d557a5995df42c03374a530ef
BUY,0.001,1000,1730898877,Yes,0xb6db6d1747d62ddcd37d60a40bcbfe2c89fff63c1936b1203c2e4471d48c861b
BUY,0.001,1000,1730898585,Yes,0xea1ee79633cd1040316850ada05263a253fb50b4001935aa625f845d6a8274dc
BUY,0.001,1000,1730898501,Yes,0xb9296e3ee1ff7fc0c7a0e3084c9cf5ea8a00dfa1d41b1bff49f1c4219edecf3c
BUY,0.001,10,1730898115,Yes,0xb1f830e678c889e375c26aed47b9e9bdec20933211e6e99db3f9c886251e05fc
BUY,0.001,1000,1730896218,Yes,0x78f5600787a5ae8e55e9eeddc0b6b1164b98e7189b10d071783d23c742ff85d6
BUY,0.001,1000,1730894836,Yes,0xd53ba60ee6edd6b7054e5a16bf9e88e0fb13649f9e078ba9c78fb4bdc7c87b83
BUY,0.001,2000,1730894494,Yes,0xfcc197cb1f6855f7bc3aef627f79526f54d6c298db7ca65adc35f9c9242a95e5
