side,price,size,timestamp,outcome,tx_hash
BUY,0.001,120,1730915382,Yes,0x9882083b2ae5d41d54fdd5f59ebf07d215794822113fde4988eb7197b5d3e17c
BUY,0.001,10,1730912830,Yes,0x6c0ff237ae01818ac6caa534e65730b39ce54df5da02f1cad8503061070b46ac
SELL,0.999,10,1730912742,No,0x61528932361a91f2c904bbdb7c9ffaa643460ad0f8dc7622015700875e4b65de
BUY,0.001,1000,1730910077,Yes,0xcd8c297be365f1291c6b64ea5d5edeb31ce281246622ad0839d0a2bbc4b56549
BUY,0.001,300,1730901620,Yes,0x1646a0a134335a5db7b1fef091d3a6e5901b0d7294014717bd773bd667dd8076
BUY,0.001,10,1730898007,Yes,0x8efe8638b94d6f0da6afd09a0c245cd4fafebe7e6f9352ef0a1b1ddc92520347
BUY,0.001,3300,1730885337,Yes,0x65bae5feca89148d25939e6deaeafd653c4dde67fd21f7b2b18bd71c256319a5
BUY,0.001,10,1730884078,Yes,0x764635c770d1b0c7b6b2b49cfd6221f5b1bf77d562f05711a59cef0ab16a2920
BUY,0.001,10,1730883260,Yes,0xfc456409b6641ac1382fff0043e8022ec8921b5b658cd2f6b9aa972132468657
BUY,0.001,10,1730878455,Yes,0xf9552c633098649773e840df064efba851b6fbfb314f2bc6beb0df475db0dcba
BUY,0.001,645.38,1730862747,Yes,0x9dea37b029af47a7e72e350baf9c515320acd9e1e94e44a4c26d964ae11cb7ed
BUY,0.001,11.55,1730854420,Yes,0xe292451bb6bc6ea87a996762a5fe89901ef9fe7648be7f398f8fb818201dd977
BUY,0.001,11.55,1730854418,Yes,0x74bcd2c594f69e1417a4ed5c1d25b81c1a582a76be5c7aa1d1fe9eb8bfd55b17
BUY,0.001,10,1730848837,Yes,0x7debe4ecb1635d4bcd57d14ab7ec11ebf8254b9e68638ffe99124c79666b0e8c
BUY,0.001,1898.9,1730846331,Yes,0x5f5635b7c40468b2ee18fa6a7d4ebc21daca446b9eda2479b937478ff19e5ee0
BUY,0.001,520,1730845348,Yes,0x0bbef05ead45dcf83659dcb53fa7a226f5deb34daadfe2ad7877b0b9cd1c98e5
SELL,0.999,6,1730843334,No,0xbffca8b6fffbbe8d5abfd09587dc5b0ec81fe3f599203600563ca6dbee7171c6
BUY,0.001,190,1730840455,Yes,0xd773a376e16b6e15a3988a55e5187a42fb0018fd669660d0c115de7f32f97a48
BUY,0.001,990,1730840355,Yes,0xcc0cd1a348c82992996cfd41e9eaee4411eb3293efe2b84be1ec1a2c67a9e2c3
BUY,0.001,1000,1730840207,Yes,0xa0de38ddaba6a8b6e8fd8369f1f6f6609d4491e17f2f2c1702e7b3ab6a43ad83
BUY,0.001,1040,1730839784,Yes,0xede717d7105fda1fbfd3d703d2747ae1bf9aaaab2ce92eb43c90fc73d00df751
BUY,0.001,1070,1730839292,Yes,0x486bd9764d1c16675484b0c7885e701d7138c605719db1e1ac59b41a9ca6d94d
BUY,0.001,980,1730838970,Yes,0xe18a9e313b23c952bf79ff3e0ed1850070f7b48fb22e4b5f32fe0dcaa8f4aeaf
BUY,0.001,1050,1730838161,Yes,0x09b14f1c4fd878906e08abb1a921f81ac6b71efa83de88f1bf42d3597250acba
BUY,0.001,10,1730837809,Yes,0xb7ada6f974821a6a7f9c793c9a3e4719f31e58ce901b02b178b7068b1fa592a4
BUY,0.001,5,1730836879,Yes,0x016e548778383df9942012fb5cb2c0c8caa765f96d148bc0c2cca3e26ba9fc66
BUY,0.001,1060,1730836829,Yes,0xb9017f3e2016d1384f3899ec76d2e0aba606ded684bbf0f75bf204896265aeb3
BUY,0.001,2670,1730836526,Yes,0xbe717c71f41bdb7e1f60794b1e69ca79bc3ed6ebb0f585af15014831f33fe5ba
BUY,0.001,5,1730836222,Yes,0x707af678fafe4aeac78f4b29e9acd4098f3cc3054031d92f4477489a7d7a79e1
BUY,0.001,1020,1730834880,Yes,0x7bb3002e11800146ad497e02fa5814f5f57930ddb45e89c23fd22ad5f29f1a56
BUY,0.001,1070,1730833742,Yes,0x369f9bd91857b848817d6cb916e1123dd3556e83e44755fd2264e28cdaf2c062
BUY,0.001,1020,1730833288,Yes,0xf08b2eeb2b3b67630746d9500d13595b3eca566f36b00e03db0f1a6fa29ab6c9
BUY,0.001,5,1730828717,Yes,0x1bf1c2cdd5a7483296c788253487eb33fcab104e36e183b0603a1906fa05d18f
BUY,0.001,1020,1730827765,Yes,0x1a1798b0fe9ceadd3e0191291c3888327425272b4d2aa726d52f35087d2e3369
BUY,0.001,1010,1730827339,Yes,0x86354cb1f9374db329117b3d587ff16888036c4ad124e8bf08b4b49b5be6ba3c
BUY,0.001,1000,1730827055,Yes,0x78267a9622ad54ff7cf466525343e21bb3478027908d6521f3175fb9426c6147
BUY,0.001,5,1730826695,Yes,0x5d5d8e6e381f5cac96b8d7d189ed12609dade7281dde34782ae655bfe32bff41
