side,price,size,timestamp,outcome,tx_hash
SELL,0.999,5,1730916282,No,0xffce1894562891e66af018589737b259cf2f4a15fa7f608f98a24b63f9185444
SELL,0.999,1.5,1730908562,No,0x7994f211d51b9639fcf21d3c3d5d55cd3741e4646be81da4ac2611b3757af4da
SELL,0.999,1.2,1730907906,No,0xffefdf86f2bb8b943f6ab32f77a46f1c0a9f9dcb65388c50441620d3fc2f515b
BUY,0.001,1010,1730905362,Yes,0x78c2f4bf6862bdd452730ce55b5e0a6df64ceac5076a07844c121708acd1a3ae
BUY,0.001,330,1730905034,Yes,0x17d1cc9642d5f0953b90aaaa60cec1da67856638266b39f5c0a06055e48e9236
SELL,0.999,21.14,1730901934,No,0x65ee8669a8e815e110d7de2f7e0c9579a0764e8b11f506f46827a99276c6f48e
BUY,0.001,28160,1730898513,Yes,0xdf3d99e33c30073660b8592b07f34c4dcad15feb40e606135c89158350694e74
BUY,0.001,10,1730898027,Yes,0x40623e598577a3093a567527d3f75cddf1234e41fe10cd3798ea0d701aa6355f
BUY,0.001,10000,1730896414,Yes,0xde4504f1fa795443ae666b1a9b5213d47e5034ccf3eb02c6cf1d2c5eddf7f08b
BUY,0.001,350,1730895920,Yes,0x975aef0c70a42032f19686cc71b77e950f8967ce076a35791563acd9f0e0352e
BUY,0.001,170,1730895444,Yes,0xe0f8a64c33c9ff12661d804e5d7f31cae9626a5ab508684f1d54e0f2042a4f13
BUY,0.001,1000,1730889749,Yes,0x3a89dce1660e1a5be050e9564ad5fb742af84466283d7a62be66f910ca23b243
BUY,0.001,1000,1730889749,Yes,0x319566dfa39a6420a6dd5c72b9901ebb73f8675b2a0b77b091877666b8034d45
BUY,0.001,1000,1730889749,Yes,0xf868f75476b82d3c0a353432ae9df121bdff4a1facfb743c5e1fa43b13b503b8
BUY,0.001,1000,1730888582,Yes,0xebd35213bd757ac616fa77da69146019f75304ba91c4599d2271b68bfbc1821c
BUY,0.001,1000,1730887640,Yes,0xfdb99f3fd2112cf210a386cb9841e480d290960088b47249bcf83b41ce87c160
BUY,0.001,1000,1730886964,Yes,0x0133a90f4f08d039ae642e0e137f90713202dac7ba132f94c9440f1433c900ef
BUY,0.001,1450,1730885641,Yes,0xb99449cc1955338106bfb59ed5f897a03081342a583e63b1f368cd6d13184b37
BUY,0.001,645.38,1730862663,Yes,0x8f350d4dcddfd9c717893cc8defc91926256af266ccb2d7b6e568700a6c2a0a3
BUY,0.001,11.55,1730854422,Yes,0x90abd694dd672a0fb45bc50b67559b3d1542dbd04990f88c5c696bd242464dca
BUY,0.001,11.55,1730854418,Yes,0x0954e2f234ae8846696864915bb0f1704dafee4f64e08055404c46aab307c35b
BUY,0.001,1000,1730846954,Yes,0xda2d6a6a160c6d3594dc501ba12d22a3a62040e65ae976780ca5ccdb299cebb1
BUY,0.001,1000,1730846374,Yes,0x4aefea02f88661cf44094ab99823a3095a413241f2228b538ec1cf596295784f
BUY,0.001,5000,1730844193,Yes,0xac56df8525a4edcbb0085afa632592cdcd9880356fb1b4be1282465d6c3c3d92
BUY,0.001,1090,1730839710,Yes,0xa9b547bf19e8fc18fdd745c5c4bab9fa8cdc7282bc56fbdd5933cea436d5bc4a
BUY,0.001,1040,1730839130,Yes,0xf2d35b90539a4ebe723592381e1946c54cb540faebd8eb48f992bd89a48cf75b
BUY,0.001,1050,1730838820,Yes,0x49a2864e4fa73aa414c2661081b5cbc1298c8aaf0b79e752e2757acc077976d9
BUY,0.001,1070,1730838812,Yes,0xa22a17b4120c594ee9ea2c4436be4f704466f8b8463d81396d449bd72389bba5
BUY,0.001,1500,1730838658,Yes,0x0be4dee23f9facb26269a4d26f339860e95ba3b1cbc03c6e2c5edf362e4331da
BUY,0.001,5,1730836869,Yes,0xebe9d837f5311e5a5780f91288fb70541ee5d5b6895933f1081596e5da012cbc
BUY,0.001,100,1730836648,Yes,0x82f07a5fd24b3b4c6e8242934c1795f2ccf1c1ca54f805cbadaa73d28d37ec7f
BUY,0.001,1040,1730836590,Yes,0xd8945b3a9a5aaa787a6185fc1183072f0e4629c9120c011d3e0d8bc70a1d1f60
BUY,0.001,5,1730836212,Yes,0x426cf2e07c784b7e2a26726818f27af19a340452bf6a2ebafa14cffedc4f3b1e
BUY,0.001,1100,1730835998,Yes,0xec8402b56d0157c337926fb07b772da5d351c1687c06d6059f6a35e1bd61be46
SELL,0.999,0.24,1730835600,No,0x055562b414be6d389b6d16fbf5c5b84943517267ff127857ac109da1151bff3d
SELL,0.999,0.14,1730835156,No,0x3b7f11b76e6e8bd6845b413d11ffb66bd43b8344f4726afeeee63d7ce34d5339
BUY,0.001,1030,1730834082,Yes,0x7fd3e7821c8f177ed92c3520d71eed1185a8866c4de448f572142a1109cdf293
SELL,0.999,0.16,1730833680,No,0xd8ee7e1c0bcfa72b89d582df8455560b927f8b0bf13cec293f0a3ff35977706f
BUY,0.001,70,1730833606,Yes,0x5bcb782660780b0b35f9ebd07f6e15ea12b4ffa0c86fc0f53164263a5d527326
BUY,0.001,300,1730833116,Yes,0x78a4478e54c240d22ee86a40136f15161b59e446b4e343fe23c9325310dd3cc6
BUY,0.001,5,1730828707,Yes,0x34e8f39d25a915bf2ab1b2a9dcaba808e819c13d6219e27de10670086ea5419a
BUY,0.001,1050,1730827851,Yes,0x21c1cb9e2f6ffdbeb3c85cf193aeb97a1ac09d9b3f44595acd24a240e04dc58e
BUY,0.001,1010,1730827499,Yes,0x6cfeddce3daa936f7bbb7c8b34989e7ea2d79d7190b49949664ffc40bc17aeea
BUY,0.001,1010,1730827091,Yes,0xdf2f73d6fafcacece59a927a2bf389d50fbde948c129fff538c3d931128a04c3
BUY,0.001,5,1730826685,Yes,0x3e6f6828911c6626a1c6d5464a175d223d7c13159b4fc03255a82ba72cbd68b1
BUY,0.001,5,1730826365,Yes,0x1175626fcf3ed1222b10b176930c0eac496ac490ab3b04c3f8b555471b5268e1
BUY,0.001,2000,1730825459,Yes,0xa23d2c4f7445a6bff0749301e1f19bd3ea30e4eae8f2e02a58044ea023026185
BUY,0.001,1000,1730824747,Yes,0x3452b38aba718202bb37a293dd13052dac4a6d53147b34e763949f7a045cf1eb
BUY,0.001,5,1730823959,Yes,0x29bf174a4c1e973f6912ec36f73f6f0c2ae4ba22666f934628c1a3bdca9279e5
BUY,0.001,5,1730823299,Yes,0x3b4c317f63afbecf1f39666b1e09a693b3203f7ae87265ae1cce00a78be173a7
BUY,0.001,1000,1730823163,Yes,0xb144dff95010438780ee8057988b3c2de1a0478c892b523c4fbf47bc87041ddc
BUY,0.001,1002,1730822747,Yes,0xc3eaae2ad17008c3c3d8811a09ad61a7c9a9a74457af7055dff3ac588b8b1d4d
BUY,0.001,2000,1730821857,Yes,0xf3a0abba2e86261cd8af5ddac9bad2f81743f476bf4a06bc839c70b65db0ba1e
BUY,0.001,5,1730821665,Yes,0x7e6aa53184f5bb94a80a8b980df9a3c513132cf863f3bb3c1e59d5c7b48e33a7
BUY,0.001,5,1730819799,Yes,0xaf472e5d34f499d4c8940c5100da5d36930767b7c948fcee1312aafc647a4cff
BUY,0.001,5,1730818597,Yes,0xd43631d9dd3dc42a7692e638bfdd2304b928b94c54a55cbd424f49e8649f9005
BUY,0.001,1300,1730816175,Yes,0x5167afc981ccdea72c8adfdf52eace23f2f645f14c42b365987f92f1375b7783
BUY,0.001,521,1730811771,Yes,0x35fb19f2636251e585932358e66d539f27636a2de73b0ea8d9d33f7934490791
BUY,0.001,2000,1730810766,Yes,0x8dadfe402d8e601efdfda44604b7576791ac26a3e7a566be6ffec2c7267ef54e
BUY,0.001,1001,1730810410,Yes,0xb2e6492e24b3d2299e312e1a6f25ec3df11aeac44489e475120d2acea593fe97
BUY,0.001,1040,1730809644,Yes,0x10f75201313847e1145adccbd62b0520662e1923ca9393ae34766849bd712a92
