side,price,size,timestamp,outcome,tx_hash
SELL,0.001,8671.61,1729211124,No,0x582950e3f30db9d0b3b87ae7aa9fd050c1118b5b79acefbf6dc4b1129c02ed60
SELL,0.001,43690,1729211124,No,0xebcecba1eb80041ec9e5e4b6f1343403f4fd31a1860524705e6265b6922d3e64
SELL,0.001,51600,1729211112,No,0x51c3de28fd70eff654b36521e0effd29c7c4f52a9f24597cd128dffd8357d6e4
SELL,0.001,2608.33,1729211112,No,0xc8b5d8f0e6832d54b981dab4699cc2e28515fa86cfe7046e1f96b81749600a4d
SELL,0.0010091172962038131,27420.41,1729211108,No,0xd9cd989a676bb0e3f1d6aee799289051055d27db35d5c3858345338e84a2f038
SELL,0.003826267175490684,172567.85,1729211104,No,0x4b0b1f7982baeaa9d5a7ab433c836a2cb2cc5b36c500300817e7debba5cfc30e
BUY,0.007000000004484783,2675.714284,1729211104,No,0xd4498ee66ed9c89d168b7c06ad394d2efd04e37d10347538d69bf682a5b41ed3
SELL,0.993,5.02,1729211104,Yes,0x072297e9a2c2ece449080018b57f11d86b2acb2a96344adf542852c48f268d5f
SELL,0.0018754859998448873,975419.55,1729211104,No,0xe43e4d76e47418a6d8ecb310b102ce1d1a3f2327a4c4a85d9aadfa04ef7de385
BUY,0.007000000008536586,1522.857141,1729211094,No,0xc0de9a96779948a839ca17d970e6dfb6c50d0244c0a9f5a323d70556a4827463
SELL,0.004,4825.03,1729211092,No,0x52375791d7de15828d805a02a98f0604ea2f4c28b1535087ada9e7d06b98ab2f
BUY,0.996,5.02,1729211092,Yes,0x224963d2f5b6267414cc119c354e818b555cb071fff304bd2aa6061b9400493d
SELL,0.004,3995,1729211086,No,0xd13d9dcb5f45d8e9b791054c14973e2f41e80465c5b8b36e8c10a40b7a2647d7
SELL,0.004,2856.49,1729211084,No,0x01ce370bf37a88b749150a59eabc4ae38dc5413766a291988e9938f0c59679fc
SELL,0.004,14822.38,1729211084,No,0xaf166800ff92711b8ec13bd199744a7977f60adfcf50c1db9406bddbd8f5b5ab
SELL,0.004,2198,1729211084,No,0x895bbe5d1990921575c1b027c87453b56936467003fed174a9c6adca2a06b6ad
SELL,0.004,38528.25,1729211082,No,0x523dca3fbe997bee5e60261c9b661c3bfe16b28d18ef9f2fe93c2253ee359900
SELL,0.004,2314.39,1729211082,No,0xb6117c9702194c495fd51f4d095a0e595c0bc3adc2a27bb1ed0e9b723323bd19
BUY,0.006861394523640484,195965.994284,1729211082,No,0x6bf13767124b1cb96b1c9dc073a2cd91ee5dd874aef0950fc3520919cb63fec4
SELL,0.004,1657.91,1729211080,No,0xd0d7e89f9f7f08ca52a1002cfac79a95b6798dc92b77552bd978d294d3d017ca
SELL,0.004,50522.87,1729211078,No,0xeecd4537b895d787dd320039d75ffbd0b6a20dbafd03ac5c0ea65c6d96e3e81d
SELL,0.004,8640.83,1729211076,No,0xf25d07344ffa0134cac65e4044c30a3b64a8b466a927b4292b7155f5891d67b1
BUY,0.996,9.026,1729211076,Yes,0xc706ebf7e0c27de4933a562bdb05d84fc7c59719d8638fda3c5581e72dfdbca6
SELL,0.0040428067320235055,73586.79,1729211074,No,0x8de7bf0bed2257633f3874a6d4b3e17a04f8528b285703c0393dc8f263997b44
BUY,0.006000000000480096,8331.666666,1729211074,No,0xb0fbd5bb52056cd79e818ebdb392758571eed402d301244d13c701b0b0825ef1
SELL,0.005,1849.99,1729211074,No,0xb0e45f0edba85c836d32d1f87dc58be611190e4ef1675d8735720ee6551a797b
SELL,0.006,2695.98,1729211070,No,0xf091348987e67c40ea2c63cc8005e8684873cda93ee7b757f7c6930ce10532c0
SELL,0.004,43478.17,1729211064,No,0xe854e4f76bfd93d3e930ebe112ffa69b2b8d7e77dee0533f64c64f9e330de07e
SELL,0.004,12507.5,1729211062,No,0x3d72d9858039b5b35a22dc1a767088d52fcac3b7cee98f4216d4fd9902ffa16b
SELL,0.004,425,1729211060,No,0xe18d3ed513c0cf2abfe31b67fd184de10fc58eda5ec6e6fd984a92f994811357
SELL,0.004,18892.1,1729211060,No,0x97ede8ac071653156dc06f92fbf9d08e69570f4ba2f496c0b147ce7af8dda322
SELL,0.004,20977.93,1729211056,No,0xbebd49d8c9eb786385aec5e448fa0170dcc041479b2b04f5f33868c777abac42
SELL,0.004,16699.14,1729211054,No,0x0d1dbad0b3094edfae6d276b699750483de0b862072c92c765732bc2a5315aa9
SELL,0.004,2000,1729211048,No,0x0e14830d9ca543ce91416ba15c057292d4818007aa35c396e6c5bbb27eed62a2
BUY,0.007000000033478261,328.571427,1729211046,No,0xe29ca1c85a3bc7843a5d7e02a540f63f1166032185e9545c0093e77f20699678
SELL,0.004,2053.52,1729211044,No,0x933c2c79406929c3061655d3695b4abc576094bf5637cb1d4c214b59f9a6a4ac
SELL,0.004,29880,1729211042,No,0xab114105ff905f1638db3796823c20f796724b11a5b8f26b36f7947797e854a7
SELL,0.004,3787.87,1729211042,No,0xdbce5b3e9d2ddc1905749dbea695d798f24241254b7eccead443092cb11cdd61
SELL,0.004026391937157631,37890.36,1729211040,No,0x98bdb55a19d49357d6a0d65d167e2d2c6e2348a8c34c601fc76b867683bc7d1b
BUY,0.00700000000182,7142.857141,1729211040,No,0xfa8d97ac87200004a75ba330793ec7a289c9b567d77e474c43a57e731b9ece4a
SELL,0.004,399932,1729211038,No,0x5d9a63705ac42994caa887051cd59e4576e705d11912ee1a1641e3541044d6ef
